═══════════════════════════════════════════════════════════════
  Site            : claro.com.br
  Status          : EMPTY
  Attempts used   : 10 / 10
  Total elapsed   : 487s
  Channels        : 5460
  With programmes : 0
  Empty channels  : 5460
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    5460 status code 502
  Last error      : Request failed with status code 502
  Generated       : 2026-04-24 10:53:58
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:45:50 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=claro.com.br --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 273 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/546] claro.com.br (pt) - 1_407 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [2/546] claro.com.br (pt) - 1_409 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [3/546] claro.com.br (pt) - 1_407 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [4/546] claro.com.br (pt) - 1_410 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [5/546] claro.com.br (pt) - 1_409 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [6/546] claro.com.br (pt) - 1_414 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [7/546] claro.com.br (pt) - 1_410 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [8/546] claro.com.br (pt) - 1_416 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [9/546] claro.com.br (pt) - 1_414 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [10/546] claro.com.br (pt) - 1_416 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [11/546] claro.com.br (pt) - 1_419 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [12/546] claro.com.br (pt) - 1_419 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [13/546] claro.com.br (pt) - 1_420 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [14/546] claro.com.br (pt) - 1_420 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [15/546] claro.com.br (pt) - 1_421 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [16/546] claro.com.br (pt) - 1_421 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [17/546] claro.com.br (pt) - 1_423 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [18/546] claro.com.br (pt) - 1_423 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [19/546] claro.com.br (pt) - 1_425 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [20/546] claro.com.br (pt) - 1_425 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [21/546] claro.com.br (pt) - 1_426 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [22/546] claro.com.br (pt) - 1_426 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [23/546] claro.com.br (pt) - 1_427 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [24/546] claro.com.br (pt) - 1_427 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [25/546] claro.com.br (pt) - 1_430 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [26/546] claro.com.br (pt) - 1_430 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [27/546] claro.com.br (pt) - 1_431 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [28/546] claro.com.br (pt) - 1_431 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [29/546] claro.com.br (pt) - 1_432 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [30/546] claro.com.br (pt) - 1_432 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [31/546] claro.com.br (pt) - 1_433 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [32/546] claro.com.br (pt) - 1_433 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [33/546] claro.com.br (pt) - 1_435 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [34/546] claro.com.br (pt) - 1_436 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [35/546] claro.com.br (pt) - 1_435 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [36/546] claro.com.br (pt) - 1_438 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [37/546] claro.com.br (pt) - 1_437 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [38/546] claro.com.br (pt) - 1_436 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [39/546] claro.com.br (pt) - 1_438 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [40/546] claro.com.br (pt) - 1_437 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [41/546] claro.com.br (pt) - 1_439 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [42/546] claro.com.br (pt) - 1_440 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [43/546] claro.com.br (pt) - 1_440 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [44/546] claro.com.br (pt) - 1_439 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [45/546] claro.com.br (pt) - 1_442 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [46/546] claro.com.br (pt) - 1_442 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [47/546] claro.com.br (pt) - 1_446 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [48/546] claro.com.br (pt) - 1_449 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [49/546] claro.com.br (pt) - 1_446 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [50/546] claro.com.br (pt) - 1_449 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [51/546] claro.com.br (pt) - 1_450 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [52/546] claro.com.br (pt) - 1_450 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
