═══════════════════════════════════════════════════════════════
  Site            : dens.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 108
  With programmes : 84
  Empty channels  : 24
  Total programs  : 2791
  Output size     : 512951 bytes
  HTTP errors     :
    24 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 10:47:50
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:47:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dens.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 54 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/108] dens.tv (id) - DensLearningKnowledge.id@SD - Apr 25, 2026 (18 programs)
ℹ   [2/108] dens.tv (id) - DensLearningKnowledge.id@SD - Apr 24, 2026 (18 programs)
ℹ   [3/108] dens.tv (id) - 3 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [4/108] dens.tv (id) - 3 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [5/108] dens.tv (id) - MetroTV.id@SD - Apr 24, 2026 (69 programs)
ℹ   [6/108] dens.tv (id) - NET.id@SD - Apr 24, 2026 (23 programs)
ℹ   [7/108] dens.tv (id) - NET.id@SD - Apr 25, 2026 (25 programs)
ℹ   [8/108] dens.tv (id) - CGTN.cn@SD - Apr 24, 2026 (37 programs)
ℹ   [9/108] dens.tv (id) - MetroTV.id@SD - Apr 25, 2026 (69 programs)
ℹ   [10/108] dens.tv (id) - 17 - Apr 25, 2026 (26 programs)
ℹ   [11/108] dens.tv (id) - 17 - Apr 24, 2026 (26 programs)
ℹ   [12/108] dens.tv (id) - CGTN.cn@SD - Apr 25, 2026 (37 programs)
ℹ   [13/108] dens.tv (id) - RodjaTV.id@SD - Apr 24, 2026 (26 programs)
