═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/1206] dishtv.in (en) - ReporterTV.in@SD - Apr 25, 2026 (21 programs)
ℹ   [2/1206] dishtv.in (en) - ReporterTV.in@SD - Apr 24, 2026 (21 programs)
ℹ   [3/1206] dishtv.in (en) - 9XM.in@SD - Apr 24, 2026 (49 programs)
ℹ   [4/1206] dishtv.in (en) - News24.in@SD - Apr 24, 2026 (48 programs)
ℹ   [5/1206] dishtv.in (en) - News24.in@SD - Apr 25, 2026 (48 programs)
ℹ   [6/1206] dishtv.in (en) - 9XJhakaas.in@SD - Apr 24, 2026 (48 programs)
ℹ   [7/1206] dishtv.in (en) - 9XJhakaas.in@SD - Apr 25, 2026 (48 programs)
ℹ   [8/1206] dishtv.in (en) - DiscoveryChannel.in@SD - Apr 24, 2026 (24 programs)
ℹ   [9/1206] dishtv.in (en) - DiscoveryChannel.in@SD - Apr 25, 2026 (17 programs)
ℹ   [10/1206] dishtv.in (en) - ZeeBangla.in@SD - Apr 24, 2026 (40 programs)
ℹ   [11/1206] dishtv.in (en) - SunTV.in@SD - Apr 24, 2026 (32 programs)
ℹ   [12/1206] dishtv.in (en) - SunTV.in@SD - Apr 25, 2026 (32 programs)
