═══════════════════════════════════════════════════════════════
  Site            : dsmart.com.tr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 27s
  Channels        : 200
  With programmes : 169
  Empty channels  : 31
  Total programs  : 5149
  Output size     : 1583812 bytes
  Generated       : 2026-04-24 10:50:35
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:50:08 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dsmart.com.tr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 100 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/200] dsmart.com.tr (tr) - APara.tr@SD - Apr 25, 2026 (20 programs)
ℹ   [2/200] dsmart.com.tr (tr) - Ekoturk.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [3/200] dsmart.com.tr (tr) - Ekoturk.tr@SD - Apr 24, 2026 (32 programs)
ℹ   [4/200] dsmart.com.tr (tr) - TV100.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [5/200] dsmart.com.tr (tr) - TRTSporYildiz.tr@SD - Apr 24, 2026 (9 programs)
ℹ   [6/200] dsmart.com.tr (tr) - TRTSporYildiz.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [7/200] dsmart.com.tr (tr) - LoveNature.ca@SD - Apr 24, 2026 (27 programs)
ℹ   [8/200] dsmart.com.tr (tr) - LoveNature.ca@SD - Apr 25, 2026 (27 programs)
ℹ   [9/200] dsmart.com.tr (tr) - SporSmart2.tr@SD - Apr 24, 2026 (15 programs)
ℹ   [10/200] dsmart.com.tr (tr) - HaberGlobal.tr@SD - Apr 24, 2026 (19 programs)
ℹ   [11/200] dsmart.com.tr (tr) - SporSmart2.tr@SD - Apr 25, 2026 (13 programs)
ℹ   [12/200] dsmart.com.tr (tr) - SinemaTV.tr@SD - Apr 24, 2026 (12 programs)
