═══════════════════════════════════════════════════════════════
  Site            : epg.112114.xyz
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 2027
  With programmes : 0
  Empty channels  : 2027
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    170 status code 522
  Other errors    :
    1743 timeout of 30000ms exceeded
  Last error      : timeout of 30000ms exceeded
  Generated       : 2026-04-24 14:12:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:51:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.112114.xyz --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 942 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/1884] epg.112114.xyz (zh) - 4K健身 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [2/1884] epg.112114.xyz (zh) - 4K健身 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [3/1884] epg.112114.xyz (zh) - 4K宝贝 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [4/1884] epg.112114.xyz (zh) - 4K宝贝 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [5/1884] epg.112114.xyz (zh) - 4K时尚 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [6/1884] epg.112114.xyz (zh) - 4K时尚 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [7/1884] epg.112114.xyz (zh) - 4K演唱会 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [8/1884] epg.112114.xyz (zh) - 4K演唱会 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [9/1884] epg.112114.xyz (zh) - 4K电影 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [10/1884] epg.112114.xyz (zh) - 4K电影 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [11/1884] epg.112114.xyz (zh) - 4K电视剧 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [12/1884] epg.112114.xyz (zh) - 4K电视剧 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [13/1884] epg.112114.xyz (zh) - 4K纪实 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [14/1884] epg.112114.xyz (zh) - 4K纪实 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [15/1884] epg.112114.xyz (zh) - 4K美食 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [16/1884] epg.112114.xyz (zh) - 4K美食 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [17/1884] epg.112114.xyz (zh) - 1905环球经典 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [18/1884] epg.112114.xyz (zh) - 1905环球经典 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [19/1884] epg.112114.xyz (zh) - BTV体育 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [20/1884] epg.112114.xyz (zh) - BTV体育 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [21/1884] epg.112114.xyz (zh) - BTV影视 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [22/1884] epg.112114.xyz (zh) - BTV影视 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [23/1884] epg.112114.xyz (zh) - BRTVArtsChannel.cn@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [24/1884] epg.112114.xyz (zh) - BRTVArtsChannel.cn@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [25/1884] epg.112114.xyz (zh) - BTV新闻 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [26/1884] epg.112114.xyz (zh) - BTV新闻 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [27/1884] epg.112114.xyz (zh) - BTV生活 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [28/1884] epg.112114.xyz (zh) - BTV生活 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [29/1884] epg.112114.xyz (zh) - BTV科教 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [30/1884] epg.112114.xyz (zh) - BTV科教 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [31/1884] epg.112114.xyz (zh) - BTV财经 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [32/1884] epg.112114.xyz (zh) - BTV财经 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [33/1884] epg.112114.xyz (zh) - CCTV1 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [34/1884] epg.112114.xyz (zh) - CCTV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [35/1884] epg.112114.xyz (zh) - CCTV2 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [36/1884] epg.112114.xyz (zh) - CCTV2 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [37/1884] epg.112114.xyz (zh) - CCTV3 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [38/1884] epg.112114.xyz (zh) - CCTV3 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [39/1884] epg.112114.xyz (zh) - CCTV4 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [40/1884] epg.112114.xyz (zh) - CCTV4 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [41/1884] epg.112114.xyz (zh) - CCTV4K - Apr 24, 2026 (0 programs)
ℹ   [41/1884] epg.112114.xyz (zh) - CCTV4K - Apr 24, 2026 (0 programs)
ℹ   [42/1884] epg.112114.xyz (zh) - CCTV4K - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [43/1884] epg.112114.xyz (zh) - CCTV4欧洲 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [44/1884] epg.112114.xyz (zh) - CCTV4欧洲 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [45/1884] epg.112114.xyz (zh) - CCTV4美洲 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [46/1884] epg.112114.xyz (zh) - CCTV4美洲 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [47/1884] epg.112114.xyz (zh) - CCTV5 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [48/1884] epg.112114.xyz (zh) - CCTV5 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [49/1884] epg.112114.xyz (zh) - CCTV5+ - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [50/1884] epg.112114.xyz (zh) - CCTV5+ - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 522
ℹ   [51/1884] epg.112114.xyz (zh) - CCTV6 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [52/1884] epg.112114.xyz (zh) - CCTV6 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [53/1884] epg.112114.xyz (zh) - CCTV7 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [54/1884] epg.112114.xyz (zh) - CCTV7 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [55/1884] epg.112114.xyz (zh) - CCTV8 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [56/1884] epg.112114.xyz (zh) - CCTV8 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [57/1884] epg.112114.xyz (zh) - CCTV8K - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [58/1884] epg.112114.xyz (zh) - CCTV8K - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [59/1884] epg.112114.xyz (zh) - CCTV9 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
