═══════════════════════════════════════════════════════════════
  Site            : epg.telemach.ba
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 106s
  Channels        : 952
  With programmes : 668
  Empty channels  : 284
  Total programs  : 24179
  Output size     : 10845555 bytes
  HTTP errors     :
    284 status code 400
  Last error      : Request failed with status code 400
  Generated       : 2026-04-24 10:56:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:54:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.telemach.ba --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 476 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/952] epg.telemach.ba (hr) - 18 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [2/952] epg.telemach.ba (hr) - 18 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [3/952] epg.telemach.ba (hr) - 30 - Apr 24, 2026 (33 programs)
ℹ   [4/952] epg.telemach.ba (hr) - 31 - Apr 24, 2026 (38 programs)
ℹ   [5/952] epg.telemach.ba (hr) - 30 - Apr 25, 2026 (34 programs)
ℹ   [6/952] epg.telemach.ba (hr) - 33 - Apr 24, 2026 (35 programs)
ℹ   [7/952] epg.telemach.ba (hr) - 32 - Apr 24, 2026 (40 programs)
ℹ   [8/952] epg.telemach.ba (hr) - 31 - Apr 25, 2026 (37 programs)
ℹ   [9/952] epg.telemach.ba (hr) - 32 - Apr 25, 2026 (42 programs)
ℹ   [10/952] epg.telemach.ba (hr) - 33 - Apr 25, 2026 (38 programs)
ℹ   [11/952] epg.telemach.ba (hr) - 67 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [12/952] epg.telemach.ba (hr) - 67 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
