═══════════════════════════════════════════════════════════════
  Site            : epgshare01.online
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 632s
  Channels        : 3920
  With programmes : 2097
  Empty channels  : 1823
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 11:04:30
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:53:58 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epgshare01.online --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 20706 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/41412] epgshare01.online (es) - AR1#Canal.1.(Colombia).ar - Apr 24, 2026 (36 programs)
ℹ   [2/41412] epgshare01.online (en) - ALJAZEERA1#AlJazeera.Arabic.net - Apr 24, 2026 (0 programs)
ℹ   [3/41412] epgshare01.online (en) - ALJAZEERA1#AlJazeera.Arabic.net - Apr 25, 2026 (0 programs)
ℹ   [4/41412] epgshare01.online (en) - ALJAZEERA1#AlJazeera.English.net - Apr 24, 2026 (35 programs)
ℹ   [5/41412] epgshare01.online (en) - ALJAZEERA1#AlJazeera.English.net - Apr 25, 2026 (36 programs)
ℹ   [6/41412] epgshare01.online (es) - AR1#Canal.1.(Colombia).ar - Apr 25, 2026 (0 programs)
ℹ   [7/41412] epgshare01.online (es) - AR1#Canal.13.de.Argentina.(El.Trece).ar - Apr 24, 2026 (0 programs)
ℹ   [8/41412] epgshare01.online (es) - AR1#Canal.13.de.Argentina.(El.Trece).ar - Apr 25, 2026 (0 programs)
ℹ   [9/41412] epgshare01.online (es) - AR1#Canal.24.Horas.(TVE).ar - Apr 24, 2026 (0 programs)
ℹ   [10/41412] epgshare01.online (es) - AR1#Canal.24.Horas.(TVE).ar - Apr 25, 2026 (0 programs)
ℹ   [11/41412] epgshare01.online (es) - AR1#Canal.America.TV.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [12/41412] epgshare01.online (es) - AR1#Canal.America.TV.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [13/41412] epgshare01.online (es) - AR1#Canal.Animal.Planet.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [14/41412] epgshare01.online (es) - AR1#Canal.Animal.Planet.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [15/41412] epgshare01.online (es) - AR1#Canal.AXN.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [16/41412] epgshare01.online (es) - AR1#Canal.AXN.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [17/41412] epgshare01.online (es) - AR1#Canal.Baby.TV.(Latinoamérica).ar - Apr 24, 2026 (0 programs)
ℹ   [18/41412] epgshare01.online (es) - AR1#Canal.Baby.TV.(Latinoamérica).ar - Apr 25, 2026 (0 programs)
ℹ   [19/41412] epgshare01.online (es) - AR1#Canal.Cablenoticias.ar - Apr 24, 2026 (0 programs)
ℹ   [20/41412] epgshare01.online (es) - AR1#Canal.Cablenoticias.ar - Apr 25, 2026 (0 programs)
ℹ   [21/41412] epgshare01.online (es) - AR1#Canal.Capital.(Colombia).ar - Apr 24, 2026 (0 programs)
ℹ   [22/41412] epgshare01.online (es) - AR1#Canal.Capital.(Colombia).ar - Apr 25, 2026 (0 programs)
ℹ   [23/41412] epgshare01.online (es) - AR1#Canal.Cartoon.Network.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [24/41412] epgshare01.online (es) - AR1#Canal.Cartoon.Network.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [25/41412] epgshare01.online (es) - AR1#Canal.Cartoonito.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [26/41412] epgshare01.online (es) - AR1#Canal.Cartoonito.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [27/41412] epgshare01.online (es) - AR1#Canal.Cinecanal.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [28/41412] epgshare01.online (es) - AR1#Canal.Cinecanal.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [29/41412] epgshare01.online (es) - AR1#Canal.City.TV.ar - Apr 24, 2026 (0 programs)
ℹ   [30/41412] epgshare01.online (es) - AR1#Canal.City.TV.ar - Apr 25, 2026 (0 programs)
ℹ   [31/41412] epgshare01.online (es) - AR1#Canal.CNN.en.Español.ar - Apr 24, 2026 (0 programs)
ℹ   [32/41412] epgshare01.online (es) - AR1#Canal.CNN.en.Español.ar - Apr 25, 2026 (0 programs)
ℹ   [33/41412] epgshare01.online (es) - AR1#Canal.CNN.Internacional.ar - Apr 24, 2026 (0 programs)
ℹ   [34/41412] epgshare01.online (es) - AR1#Canal.CNN.Internacional.ar - Apr 25, 2026 (0 programs)
ℹ   [35/41412] epgshare01.online (es) - AR1#Canal.De.Película.ar - Apr 24, 2026 (0 programs)
ℹ   [36/41412] epgshare01.online (es) - AR1#Canal.De.Película.ar - Apr 25, 2026 (0 programs)
ℹ   [37/41412] epgshare01.online (es) - AR1#Canal.Discovery.Kids.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [38/41412] epgshare01.online (es) - AR1#Canal.Discovery.Kids.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [39/41412] epgshare01.online (es) - AR1#Canal.Discovery.Theater.(Latinoamérica).ar - Apr 24, 2026 (0 programs)
ℹ   [40/41412] epgshare01.online (es) - AR1#Canal.Discovery.Theater.(Latinoamérica).ar - Apr 25, 2026 (0 programs)
ℹ   [41/41412] epgshare01.online (es) - AR1#Canal.Discovery.Turbo.(Latinoamérica).ar - Apr 24, 2026 (0 programs)
ℹ   [42/41412] epgshare01.online (es) - AR1#Canal.Discovery.Turbo.(Latinoamérica).ar - Apr 25, 2026 (0 programs)
ℹ   [43/41412] epgshare01.online (es) - AR1#Canal.Discovery.World.Latinoamérica.ar - Apr 24, 2026 (0 programs)
ℹ   [44/41412] epgshare01.online (es) - AR1#Canal.Discovery.World.Latinoamérica.ar - Apr 25, 2026 (0 programs)
ℹ   [45/41412] epgshare01.online (es) - AR1#Canal.Disney.Channel.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [46/41412] epgshare01.online (es) - AR1#Canal.Disney.Channel.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [47/41412] epgshare01.online (es) - AR1#Canal.Disney.Junior.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [48/41412] epgshare01.online (es) - AR1#Canal.Disney.Junior.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [49/41412] epgshare01.online (es) - AR1#Canal.DW.(Latinoamérica).ar - Apr 24, 2026 (0 programs)
ℹ   [50/41412] epgshare01.online (es) - AR1#Canal.DW.(Latinoamérica).ar - Apr 25, 2026 (0 programs)
ℹ   [51/41412] epgshare01.online (es) - AR1#Canal.Elgourmet.ar - Apr 24, 2026 (0 programs)
ℹ   [52/41412] epgshare01.online (es) - AR1#Canal.Elgourmet.ar - Apr 25, 2026 (0 programs)
ℹ   [53/41412] epgshare01.online (es) - AR1#Canal.Enlace.(TBN).ar - Apr 24, 2026 (0 programs)
ℹ   [54/41412] epgshare01.online (es) - AR1#Canal.Enlace.(TBN).ar - Apr 25, 2026 (0 programs)
ℹ   [55/41412] epgshare01.online (es) - AR1#Canal.ESPN.2.(Bolivia).ar - Apr 24, 2026 (0 programs)
ℹ   [56/41412] epgshare01.online (es) - AR1#Canal.ESPN.2.(Bolivia).ar - Apr 25, 2026 (0 programs)
ℹ   [57/41412] epgshare01.online (es) - AR1#Canal.ESPN.3.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [58/41412] epgshare01.online (es) - AR1#Canal.ESPN.3.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [59/41412] epgshare01.online (es) - AR1#Canal.ESPN.3.(Bolivia).ar - Apr 24, 2026 (0 programs)
ℹ   [60/41412] epgshare01.online (es) - AR1#Canal.ESPN.3.(Bolivia).ar - Apr 25, 2026 (0 programs)
ℹ   [61/41412] epgshare01.online (es) - AR1#Canal.ESPN.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [62/41412] epgshare01.online (es) - AR1#Canal.ESPN.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [63/41412] epgshare01.online (es) - AR1#Canal.Europa.Europa.ar - Apr 24, 2026 (0 programs)
ℹ   [64/41412] epgshare01.online (es) - AR1#Canal.Europa.Europa.ar - Apr 25, 2026 (0 programs)
ℹ   [65/41412] epgshare01.online (es) - AR1#Canal.EWTN.en.Español.ar - Apr 24, 2026 (0 programs)
ℹ   [66/41412] epgshare01.online (es) - AR1#Canal.EWTN.en.Español.ar - Apr 25, 2026 (0 programs)
ℹ   [67/41412] epgshare01.online (es) - AR1#Canal.Film.&.Arts.ar - Apr 24, 2026 (0 programs)
ℹ   [68/41412] epgshare01.online (es) - AR1#Canal.Film.&.Arts.ar - Apr 25, 2026 (0 programs)
ℹ   [69/41412] epgshare01.online (es) - AR1#Canal.Galicia.TV.ar - Apr 24, 2026 (0 programs)
ℹ   [70/41412] epgshare01.online (es) - AR1#Canal.Galicia.TV.ar - Apr 25, 2026 (0 programs)
