═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/704] freeview.co.uk (en) - 64257#4416 - Apr 25, 2026 (5 programs)
ℹ   [2/704] freeview.co.uk (en) - 64257#4416 - Apr 24, 2026 (5 programs)
ℹ   [3/704] freeview.co.uk (en) - 64257#5696 - Apr 24, 2026 (5 programs)
ℹ   [4/704] freeview.co.uk (en) - 64257#5632 - Apr 24, 2026 (11 programs)
ℹ   [5/704] freeview.co.uk (en) - 64257#5632 - Apr 25, 2026 (14 programs)
ℹ   [6/704] freeview.co.uk (en) - 64257#5696 - Apr 25, 2026 (9 programs)
ℹ   [7/704] freeview.co.uk (en) - 64257#5760 - Apr 25, 2026 (12 programs)
ℹ   [8/704] freeview.co.uk (en) - 64257#5760 - Apr 24, 2026 (15 programs)
ℹ   [9/704] freeview.co.uk (en) - 64257#5888 - Apr 25, 2026 (15 programs)
ℹ   [10/704] freeview.co.uk (en) - 64257#5888 - Apr 24, 2026 (19 programs)
ℹ   [11/704] freeview.co.uk (en) - 64257#5952 - Apr 24, 2026 (15 programs)
ℹ   [12/704] freeview.co.uk (en) - 64257#5952 - Apr 25, 2026 (14 programs)
ℹ   [13/704] freeview.co.uk (en) - 64257#5824 - Apr 25, 2026 (39 programs)
ℹ   [14/704] freeview.co.uk (en) - 64257#6148 - Apr 24, 2026 (7 programs)
ℹ   [15/704] freeview.co.uk (en) - 64257#6157 - Apr 24, 2026 (7 programs)
ℹ   [16/704] freeview.co.uk (en) - 64257#6148 - Apr 25, 2026 (10 programs)
ℹ   [17/704] freeview.co.uk (en) - 64257#5824 - Apr 24, 2026 (53 programs)
ℹ   [18/704] freeview.co.uk (en) - 64257#6275 - Apr 24, 2026 (7 programs)
ℹ   [19/704] freeview.co.uk (en) - 64257#6157 - Apr 25, 2026 (11 programs)
ℹ   [20/704] freeview.co.uk (en) - 64257#6275 - Apr 25, 2026 (9 programs)
ℹ   [21/704] freeview.co.uk (en) - 64257#6279 - Apr 24, 2026 (7 programs)
ℹ   [22/704] freeview.co.uk (en) - 64257#6284 - Apr 24, 2026 (7 programs)
ℹ   [23/704] freeview.co.uk (en) - 64257#6279 - Apr 25, 2026 (11 programs)
