═══════════════════════════════════════════════════════════════
  Site            : melita.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 29s
  Channels        : 254
  With programmes : 204
  Empty channels  : 50
  Total programs  : 6887
  Output size     : 3546428 bytes
  HTTP errors     :
    18 status code 410
  Last error      : Request failed with status code 410
  Generated       : 2026-04-24 11:12:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:11:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=melita.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 127 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/254] melita.com (it) - MediasetExtra.it@SD - Apr 24, 2026 (12 programs)
ℹ   [2/254] melita.com (en) - 0bd65fb9-e844-4436-ba3f-6482bc639110 - Apr 24, 2026 (0 programs)
ℹ   [3/254] melita.com (en) - 0bd65fb9-e844-4436-ba3f-6482bc639110 - Apr 25, 2026 (0 programs)
ℹ   [4/254] melita.com (it) - MediasetExtra.it@SD - Apr 25, 2026 (12 programs)
ℹ   [5/254] melita.com (en) - BabyTV.uk@UK - Apr 24, 2026 (355 programs)
ℹ   [6/254] melita.com (it) - TopCrime.it@SD - Apr 24, 2026 (29 programs)
ℹ   [7/254] melita.com (it) - TopCrime.it@SD - Apr 25, 2026 (26 programs)
ℹ   [8/254] melita.com (en) - Cartoonito.it@SD - Apr 24, 2026 (32 programs)
ℹ   [9/254] melita.com (en) - Cartoonito.it@SD - Apr 25, 2026 (31 programs)
ℹ   [10/254] melita.com (it) - CacciaePesca.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [11/254] melita.com (it) - CacciaePesca.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [12/254] melita.com (it) - TV2000.it@SD - Apr 24, 2026 (2 programs)
