═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/4168] mi.tv (es) - Canal26.ar@SD - Apr 25, 2026 (12 programs)
ℹ   [2/4168] mi.tv (es) - 247CanaldeNoticias.ar@SD - Apr 24, 2026 (8 programs)
ℹ   [3/4168] mi.tv (es) - 247CanaldeNoticias.ar@SD - Apr 25, 2026 (7 programs)
ℹ   [4/4168] mi.tv (es) - Canal26.ar@SD - Apr 24, 2026 (15 programs)
ℹ   [5/4168] mi.tv (es) - Atrescine.es@SD - Apr 24, 2026 (15 programs)
ℹ   [6/4168] mi.tv (es) - Atrescine.es@SD - Apr 25, 2026 (15 programs)
ℹ   [7/4168] mi.tv (es) - AELatinAmerica.us@South - Apr 24, 2026 (0 programs)
ℹ   [8/4168] mi.tv (es) - AMCLatinAmerica.us@SD - Apr 25, 2026 (24 programs)
ℹ   [9/4168] mi.tv (es) - AELatinAmerica.us@South - Apr 25, 2026 (0 programs)
ℹ   [10/4168] mi.tv (es) - AMCLatinAmerica.us@SD - Apr 24, 2026 (24 programs)
ℹ   [11/4168] mi.tv (es) - AmericaTV.ar@SD - Apr 24, 2026 (18 programs)
ℹ   [12/4168] mi.tv (es) - AmericaTV.ar@SD - Apr 25, 2026 (13 programs)
ℹ   [13/4168] mi.tv (es) - A24.ar@SD - Apr 24, 2026 (16 programs)
ℹ   [14/4168] mi.tv (es) - A24.ar@SD - Apr 25, 2026 (14 programs)
ℹ   [15/4168] mi.tv (es) - AmericaSports.ar@SD - Apr 24, 2026 (36 programs)
