═══════════════════════════════════════════════════════════════
  Site            : mncvision.id
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 4074
  With programmes : 3791
  Empty channels  : 283
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    237 status code 500
  Generated       : 2026-04-24 14:33:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:56 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mncvision.id --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 276 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/552] mncvision.id (en) - 1 - Apr 25, 2026 (22 programs)
ℹ   [2/552] mncvision.id (en) - CinemachiXtra.uk@SD - Apr 25, 2026 (14 programs)
ℹ   [3/552] mncvision.id (en) - CinemachiXtra.uk@SD - Apr 24, 2026 (14 programs)
ℹ   [4/552] mncvision.id (en) - Cinemachi.uk@SD - Apr 24, 2026 (12 programs)
ℹ   [5/552] mncvision.id (en) - 1 - Apr 24, 2026 (26 programs)
ℹ   [6/552] mncvision.id (en) - Cinemachi.uk@SD - Apr 25, 2026 (12 programs)
ℹ   [7/552] mncvision.id (en) - CinemachiAction.uk@SD - Apr 24, 2026 (14 programs)
ℹ   [8/552] mncvision.id (en) - CinemachiAction.uk@SD - Apr 25, 2026 (13 programs)
ℹ   [9/552] mncvision.id (en) - CinemachiKids.uk@SD - Apr 24, 2026 (13 programs)
ℹ   [10/552] mncvision.id (en) - CinemachiKids.uk@SD - Apr 25, 2026 (14 programs)
ℹ   [11/552] mncvision.id (en) - HITSMovies.sg@SD - Apr 24, 2026 (11 programs)
ℹ   [12/552] mncvision.id (en) - CinemachiMax.uk@SD - Apr 24, 2026 (35 programs)
ℹ   [13/552] mncvision.id (en) - HITSMovies.sg@SD - Apr 25, 2026 (12 programs)
ℹ   [14/552] mncvision.id (en) - CinemachiMax.uk@SD - Apr 25, 2026 (32 programs)
ℹ   [15/552] mncvision.id (en) - GalaxyPremium.id@SD - Apr 24, 2026 (14 programs)
ℹ   [16/552] mncvision.id (en) - GalaxyPremium.id@SD - Apr 25, 2026 (13 programs)
ℹ   [17/552] mncvision.id (en) - Galaxy.id@SD - Apr 24, 2026 (16 programs)
ℹ   [18/552] mncvision.id (en) - Galaxy.id@SD - Apr 25, 2026 (15 programs)
ℹ   [19/552] mncvision.id (en) - MyFamily.id@SD - Apr 24, 2026 (0 programs)
ℹ   [20/552] mncvision.id (en) - MyFamily.id@SD - Apr 25, 2026 (0 programs)
ℹ   [21/552] mncvision.id (en) - IMC.id@SD - Apr 24, 2026 (28 programs)
ℹ   [22/552] mncvision.id (en) - MyCinema.id@SD - Apr 24, 2026 (0 programs)
ℹ   [23/552] mncvision.id (en) - IMC.id@SD - Apr 25, 2026 (32 programs)
ℹ   [24/552] mncvision.id (en) - MyCinema.id@SD - Apr 25, 2026 (0 programs)
ℹ   [25/552] mncvision.id (en) - MyCinemaAsia.id@SD - Apr 24, 2026 (0 programs)
ℹ   [26/552] mncvision.id (en) - MyCinemaAsia.id@SD - Apr 25, 2026 (0 programs)
ℹ   [27/552] mncvision.id (en) - CelestialMoviesIndonesia.id@SD - Apr 24, 2026 (15 programs)
ℹ   [28/552] mncvision.id (en) - CelestialMoviesIndonesia.id@SD - Apr 25, 2026 (15 programs)
ℹ   [29/552] mncvision.id (en) - CelestialClassicMovies.id@SD - Apr 24, 2026 (14 programs)
ℹ   [30/552] mncvision.id (en) - Thrill.hk@SD - Apr 24, 2026 (39 programs)
ℹ   [31/552] mncvision.id (en) - Thrill.hk@SD - Apr 25, 2026 (41 programs)
ℹ   [32/552] mncvision.id (en) - CelestialClassicMovies.id@SD - Apr 25, 2026 (14 programs)
ℹ   [33/552] mncvision.id (en) - ZeeBioskop.id@SD - Apr 24, 2026 (9 programs)
ℹ   [34/552] mncvision.id (en) - ZeeBioskop.id@SD - Apr 25, 2026 (9 programs)
ℹ   [35/552] mncvision.id (en) - tvNMoviesAsia.hk@SD - Apr 24, 2026 (13 programs)
ℹ   [36/552] mncvision.id (en) - tvNMoviesAsia.hk@SD - Apr 25, 2026 (13 programs)
ℹ   [37/552] mncvision.id (en) - NickJrAsia.sg@SD - Apr 24, 2026 (50 programs)
ℹ   [38/552] mncvision.id (en) - NickJrAsia.sg@SD - Apr 25, 2026 (50 programs)
ℹ   [39/552] mncvision.id (en) - ZooMoo.sg@SD - Apr 24, 2026 (50 programs)
ℹ   [40/552] mncvision.id (en) - ZooMoo.sg@SD - Apr 25, 2026 (50 programs)
ℹ   [41/552] mncvision.id (en) - 40 - Apr 24, 2026 (49 programs)
ℹ   [42/552] mncvision.id (en) - 40 - Apr 25, 2026 (50 programs)
ℹ   [43/552] mncvision.id (en) - CBeebiesAsia.uk@SD - Apr 24, 2026 (50 programs)
ℹ   [44/552] mncvision.id (en) - CBeebiesAsia.uk@SD - Apr 25, 2026 (50 programs)
ℹ   [45/552] mncvision.id (en) - KidsTV.id@SD - Apr 24, 2026 (35 programs)
ℹ   [46/552] mncvision.id (en) - KidsTV.id@SD - Apr 25, 2026 (35 programs)
ℹ   [47/552] mncvision.id (en) - MyKidz.id@SD - Apr 24, 2026 (0 programs)
ℹ   [48/552] mncvision.id (en) - DreamWorksChannelAsia.us@SD - Apr 24, 2026 (50 programs)
ℹ   [49/552] mncvision.id (en) - DreamWorksChannelAsia.us@SD - Apr 25, 2026 (50 programs)
ℹ   [50/552] mncvision.id (en) - MyKidz.id@SD - Apr 25, 2026 (0 programs)
ℹ   [51/552] mncvision.id (en) - NickelodeonAsia.sg@SD - Apr 24, 2026 (50 programs)
ℹ   [52/552] mncvision.id (en) - NickelodeonAsia.sg@SD - Apr 25, 2026 (50 programs)
ℹ   [53/552] mncvision.id (en) - Indosiar.id@SD - Apr 24, 2026 (15 programs)
ℹ   [54/552] mncvision.id (en) - Indosiar.id@SD - Apr 25, 2026 (17 programs)
ℹ   [55/552] mncvision.id (en) - RCTI.id@SD - Apr 24, 2026 (13 programs)
ℹ   [56/552] mncvision.id (en) - RCTI.id@SD - Apr 25, 2026 (17 programs)
ℹ   [57/552] mncvision.id (en) - GTV.id@SD - Apr 24, 2026 (15 programs)
ℹ   [58/552] mncvision.id (en) - GTV.id@SD - Apr 25, 2026 (15 programs)
ℹ   [59/552] mncvision.id (en) - MNCTV.id@SD - Apr 24, 2026 (15 programs)
ℹ   [60/552] mncvision.id (en) - MNCTV.id@SD - Apr 25, 2026 (14 programs)
ℹ   [61/552] mncvision.id (en) - iNews.id@SD - Apr 24, 2026 (20 programs)
ℹ   [62/552] mncvision.id (en) - iNews.id@SD - Apr 25, 2026 (16 programs)
ℹ   [63/552] mncvision.id (en) - SindoNewsTV.id@SD - Apr 24, 2026 (24 programs)
ℹ   [64/552] mncvision.id (en) - SindoNewsTV.id@SD - Apr 25, 2026 (24 programs)
ℹ   [65/552] mncvision.id (en) - Entertainment.id@SD - Apr 24, 2026 (19 programs)
ℹ   [66/552] mncvision.id (en) - Entertainment.id@SD - Apr 25, 2026 (19 programs)
ℹ   [67/552] mncvision.id (en) - TransTV.id@SD - Apr 24, 2026 (16 programs)
ℹ   [68/552] mncvision.id (en) - TransTV.id@SD - Apr 25, 2026 (17 programs)
ℹ   [69/552] mncvision.id (en) - Sportstars4.id@SD - Apr 24, 2026 (12 programs)
ℹ   [70/552] mncvision.id (en) - Sportstars4.id@SD - Apr 25, 2026 (15 programs)
ℹ   [71/552] mncvision.id (en) - SCTV.id@SD - Apr 24, 2026 (18 programs)
ℹ   [72/552] mncvision.id (en) - SCTV.id@SD - Apr 25, 2026 (17 programs)
ℹ   [73/552] mncvision.id (en) - 90 - Apr 25, 2026 (25 programs)
ℹ   [74/552] mncvision.id (en) - 90 - Apr 24, 2026 (26 programs)
ℹ   [75/552] mncvision.id (en) - MuslimTV.id@SD - Apr 24, 2026 (22 programs)
ℹ   [76/552] mncvision.id (en) - Life.id@SD - Apr 24, 2026 (34 programs)
ℹ   [77/552] mncvision.id (en) - Life.id@SD - Apr 25, 2026 (34 programs)
ℹ   [78/552] mncvision.id (en) - MuslimTV.id@SD - Apr 25, 2026 (21 programs)
ℹ   [79/552] mncvision.id (en) - QuranTV.sa@SD - Apr 24, 2026 (12 programs)
ℹ   [80/552] mncvision.id (en) - QuranTV.sa@SD - Apr 25, 2026 (12 programs)
ℹ   [81/552] mncvision.id (en) - VisionPrime.id@SD - Apr 25, 2026 (22 programs)
ℹ   [82/552] mncvision.id (en) - VisionPrime.id@SD - Apr 24, 2026 (26 programs)
ℹ   [83/552] mncvision.id (en) - OKTV.id@SD - Apr 24, 2026 (36 programs)
ℹ   [84/552] mncvision.id (en) - OKTV.id@SD - Apr 25, 2026 (32 programs)
ℹ   [85/552] mncvision.id (en) - tvOne.id@SD - Apr 24, 2026 (24 programs)
ℹ   [86/552] mncvision.id (en) - CelebritiesTV.id@SD - Apr 24, 2026 (32 programs)
ℹ   [87/552] mncvision.id (en) - CelebritiesTV.id@SD - Apr 25, 2026 (28 programs)
