═══════════════════════════════════════════════════════════════
  Site            : mytelly.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 86s
  Channels        : 976
  With programmes : 111
  Empty channels  : 865
  Total programs  : 3059
  Output size     : 695478 bytes
  HTTP errors     :
    857 status code 405
    8 status code 404
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:24:13
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:22:46 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mytelly.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 488 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/976] mytelly.co.uk (en) - BBCOne.uk@NorthernIreland - Apr 24, 2026 (25 programs)
ℹ   [2/976] mytelly.co.uk (en) - BBCOne.uk@Wales - Apr 24, 2026 (25 programs)
ℹ   [3/976] mytelly.co.uk (en) - BBCOne.uk@NorthernIreland - Apr 25, 2026 (24 programs)
ℹ   [4/976] mytelly.co.uk (en) - BBCOne.uk@Scotland - Apr 25, 2026 (25 programs)
ℹ   [5/976] mytelly.co.uk (en) - BBCOne.uk@Scotland - Apr 24, 2026 (27 programs)
ℹ   [6/976] mytelly.co.uk (en) - BBCOne.uk@Wales - Apr 25, 2026 (21 programs)
ℹ   [7/976] mytelly.co.uk (en) - BBCOne.uk@London - Apr 24, 2026 (25 programs)
ℹ   [8/976] mytelly.co.uk (en) - BBCOne.uk@London - Apr 25, 2026 (24 programs)
ℹ   [9/976] mytelly.co.uk (en) - BBCOne.uk@East - Apr 24, 2026 (25 programs)
ℹ   [10/976] mytelly.co.uk (en) - BBCOne.uk@East - Apr 25, 2026 (24 programs)
ℹ   [11/976] mytelly.co.uk (en) - BBCOne.uk@EastMidlands - Apr 24, 2026 (25 programs)
