═══════════════════════════════════════════════════════════════
  Site            : ontvtonight.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 576s
  Channels        : 10354
  With programmes : 232
  Empty channels  : 10122
  Total programs  : 6118
  Output size     : 1745962 bytes
  HTTP errors     :
    10120 status code 405
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:41:11
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:31:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=ontvtonight.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 5177 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/10354] ontvtonight.com (en) - au#1638/seven - Apr 25, 2026 (18 programs)
ℹ   [2/10354] ontvtonight.com (en) - au#1640/seven - Apr 24, 2026 (20 programs)
ℹ   [3/10354] ontvtonight.com (en) - au#1639/seven - Apr 24, 2026 (20 programs)
ℹ   [4/10354] ontvtonight.com (en) - au#1639/seven - Apr 25, 2026 (18 programs)
ℹ   [5/10354] ontvtonight.com (en) - au#1638/seven - Apr 24, 2026 (20 programs)
ℹ   [6/10354] ontvtonight.com (en) - au#1640/seven - Apr 25, 2026 (18 programs)
ℹ   [7/10354] ontvtonight.com (en) - au#1641/seven - Apr 24, 2026 (21 programs)
ℹ   [8/10354] ontvtonight.com (en) - au#1641/seven - Apr 25, 2026 (16 programs)
ℹ   [9/10354] ontvtonight.com (en) - au#1642/seven - Apr 24, 2026 (21 programs)
ℹ   [10/10354] ontvtonight.com (en) - au#1642/seven - Apr 25, 2026 (14 programs)
ℹ   [11/10354] ontvtonight.com (en) - au#1643/seven - Apr 24, 2026 (21 programs)
ℹ   [12/10354] ontvtonight.com (en) - au#1643/seven - Apr 25, 2026 (14 programs)
ℹ   [13/10354] ontvtonight.com (en) - au#1644/seven - Apr 24, 2026 (19 programs)
ℹ   [14/10354] ontvtonight.com (en) - au#1644/seven - Apr 25, 2026 (19 programs)
ℹ   [15/10354] ontvtonight.com (en) - au#1645/seven - Apr 24, 2026 (21 programs)
ℹ   [16/10354] ontvtonight.com (en) - au#1645/seven - Apr 25, 2026 (18 programs)
ℹ   [17/10354] ontvtonight.com (en) - au#1646/seven - Apr 24, 2026 (0 programs)
ℹ   [18/10354] ontvtonight.com (en) - au#1646/seven - Apr 25, 2026 (0 programs)
ℹ   [19/10354] ontvtonight.com (en) - au#1647/seven - Apr 24, 2026 (20 programs)
ℹ   [20/10354] ontvtonight.com (en) - au#1647/seven - Apr 25, 2026 (18 programs)
ℹ   [21/10354] ontvtonight.com (en) - au#1648/seven - Apr 24, 2026 (20 programs)
ℹ   [22/10354] ontvtonight.com (en) - au#1648/seven - Apr 25, 2026 (18 programs)
ℹ   [23/10354] ontvtonight.com (en) - au#1649/seven - Apr 24, 2026 (20 programs)
ℹ   [24/10354] ontvtonight.com (en) - au#1649/seven - Apr 25, 2026 (18 programs)
ℹ   [25/10354] ontvtonight.com (en) - au#1650/seven - Apr 24, 2026 (20 programs)
ℹ   [26/10354] ontvtonight.com (en) - au#1651/seven - Apr 24, 2026 (20 programs)
ℹ   [27/10354] ontvtonight.com (en) - au#1650/seven - Apr 25, 2026 (18 programs)
ℹ   [28/10354] ontvtonight.com (en) - au#1651/seven - Apr 25, 2026 (18 programs)
ℹ   [29/10354] ontvtonight.com (en) - au#1652/seven - Apr 25, 2026 (18 programs)
ℹ   [30/10354] ontvtonight.com (en) - au#1652/seven - Apr 24, 2026 (20 programs)
ℹ   [31/10354] ontvtonight.com (en) - au#1653/seven - Apr 24, 2026 (21 programs)
ℹ   [32/10354] ontvtonight.com (en) - au#1653/seven - Apr 25, 2026 (17 programs)
ℹ   [33/10354] ontvtonight.com (en) - au#1654/seven - Apr 24, 2026 (21 programs)
ℹ   [34/10354] ontvtonight.com (en) - au#1654/seven - Apr 25, 2026 (17 programs)
ℹ   [35/10354] ontvtonight.com (en) - au#1655/7two - Apr 24, 2026 (28 programs)
ℹ   [36/10354] ontvtonight.com (en) - au#1656/7two - Apr 24, 2026 (28 programs)
ℹ   [37/10354] ontvtonight.com (en) - au#1655/7two - Apr 25, 2026 (26 programs)
ℹ   [38/10354] ontvtonight.com (en) - au#1656/7two - Apr 25, 2026 (26 programs)
ℹ   [39/10354] ontvtonight.com (en) - au#1657/7two - Apr 24, 2026 (28 programs)
ℹ   [40/10354] ontvtonight.com (en) - au#1657/7two - Apr 25, 2026 (26 programs)
ℹ   [41/10354] ontvtonight.com (en) - au#1658/7two - Apr 24, 2026 (28 programs)
ℹ   [42/10354] ontvtonight.com (en) - au#1658/7two - Apr 25, 2026 (26 programs)
ℹ   [43/10354] ontvtonight.com (en) - au#1659/7two - Apr 24, 2026 (30 programs)
ℹ   [44/10354] ontvtonight.com (en) - au#1659/7two - Apr 25, 2026 (27 programs)
ℹ   [45/10354] ontvtonight.com (en) - au#1660/7two - Apr 24, 2026 (30 programs)
ℹ   [46/10354] ontvtonight.com (en) - au#1660/7two - Apr 25, 2026 (27 programs)
ℹ   [47/10354] ontvtonight.com (en) - au#1661/7two - Apr 25, 2026 (27 programs)
ℹ   [48/10354] ontvtonight.com (en) - au#1661/7two - Apr 24, 2026 (30 programs)
ℹ   [49/10354] ontvtonight.com (en) - au#1662/7two - Apr 24, 2026 (30 programs)
ℹ   [50/10354] ontvtonight.com (en) - au#1662/7two - Apr 25, 2026 (27 programs)
ℹ   [51/10354] ontvtonight.com (en) - au#1663/7two - Apr 24, 2026 (30 programs)
ℹ   [52/10354] ontvtonight.com (en) - au#1663/7two - Apr 25, 2026 (27 programs)
ℹ   [53/10354] ontvtonight.com (en) - au#1664/7two - Apr 24, 2026 (30 programs)
ℹ   [54/10354] ontvtonight.com (en) - au#1664/7two - Apr 25, 2026 (27 programs)
ℹ   [55/10354] ontvtonight.com (en) - au#1665/7two - Apr 24, 2026 (30 programs)
ℹ   [56/10354] ontvtonight.com (en) - au#1665/7two - Apr 25, 2026 (27 programs)
ℹ   [57/10354] ontvtonight.com (en) - au#1666/7two - Apr 24, 2026 (30 programs)
ℹ   [58/10354] ontvtonight.com (en) - au#1666/7two - Apr 25, 2026 (27 programs)
ℹ   [59/10354] ontvtonight.com (en) - au#1667/7two - Apr 24, 2026 (30 programs)
ℹ   [60/10354] ontvtonight.com (en) - au#1667/7two - Apr 25, 2026 (27 programs)
ℹ   [61/10354] ontvtonight.com (en) - au#1668/7two - Apr 24, 2026 (30 programs)
ℹ   [62/10354] ontvtonight.com (en) - au#1668/7two - Apr 25, 2026 (26 programs)
ℹ   [63/10354] ontvtonight.com (en) - au#1669/7two - Apr 24, 2026 (30 programs)
ℹ   [64/10354] ontvtonight.com (en) - au#1669/7two - Apr 25, 2026 (27 programs)
ℹ   [65/10354] ontvtonight.com (en) - au#1670/7two - Apr 24, 2026 (30 programs)
ℹ   [66/10354] ontvtonight.com (en) - au#1670/7two - Apr 25, 2026 (27 programs)
ℹ   [67/10354] ontvtonight.com (en) - au#1671/7two - Apr 25, 2026 (27 programs)
ℹ   [68/10354] ontvtonight.com (en) - au#1671/7two - Apr 24, 2026 (30 programs)
ℹ   [69/10354] ontvtonight.com (en) - au#1672/7two - Apr 24, 2026 (30 programs)
ℹ   [70/10354] ontvtonight.com (en) - au#1672/7two - Apr 25, 2026 (27 programs)
ℹ   [71/10354] ontvtonight.com (en) - au#1673/7two - Apr 24, 2026 (30 programs)
ℹ   [72/10354] ontvtonight.com (en) - au#1673/7two - Apr 25, 2026 (27 programs)
ℹ   [73/10354] ontvtonight.com (en) - au#1674/7two - Apr 24, 2026 (30 programs)
ℹ   [74/10354] ontvtonight.com (en) - au#1674/7two - Apr 25, 2026 (27 programs)
ℹ   [75/10354] ontvtonight.com (en) - au#1675/7two - Apr 24, 2026 (30 programs)
ℹ   [76/10354] ontvtonight.com (en) - au#1675/7two - Apr 25, 2026 (27 programs)
ℹ   [77/10354] ontvtonight.com (en) - au#1676/7two - Apr 24, 2026 (30 programs)
ℹ   [78/10354] ontvtonight.com (en) - au#1676/7two - Apr 25, 2026 (27 programs)
ℹ   [79/10354] ontvtonight.com (en) - au#1677/7two - Apr 24, 2026 (30 programs)
ℹ   [80/10354] ontvtonight.com (en) - au#1677/7two - Apr 25, 2026 (27 programs)
ℹ   [81/10354] ontvtonight.com (en) - 7two.au@Sydney - Apr 24, 2026 (30 programs)
ℹ   [82/10354] ontvtonight.com (en) - 7two.au@Sydney - Apr 25, 2026 (27 programs)
ℹ   [83/10354] ontvtonight.com (en) - au#1680/7two - Apr 24, 2026 (30 programs)
ℹ   [84/10354] ontvtonight.com (en) - au#1680/7two - Apr 25, 2026 (27 programs)
ℹ   [85/10354] ontvtonight.com (en) - au#1681/7two - Apr 24, 2026 (30 programs)
ℹ   [86/10354] ontvtonight.com (en) - au#1681/7two - Apr 25, 2026 (26 programs)
ℹ   [87/10354] ontvtonight.com (en) - au#1682/7two - Apr 24, 2026 (30 programs)
ℹ   [88/10354] ontvtonight.com (en) - au#1682/7two - Apr 25, 2026 (27 programs)
ℹ   [89/10354] ontvtonight.com (en) - au#1683/7two - Apr 24, 2026 (30 programs)
ℹ   [90/10354] ontvtonight.com (en) - au#1683/7two - Apr 25, 2026 (27 programs)
ℹ   [91/10354] ontvtonight.com (en) - au#1684/7two - Apr 24, 2026 (30 programs)
ℹ   [92/10354] ontvtonight.com (en) - au#1684/7two - Apr 25, 2026 (27 programs)
ℹ   [93/10354] ontvtonight.com (en) - au#1685/7two - Apr 24, 2026 (28 programs)
ℹ   [94/10354] ontvtonight.com (en) - au#1685/7two - Apr 25, 2026 (26 programs)
ℹ   [95/10354] ontvtonight.com (en) - au#1686/7two - Apr 24, 2026 (30 programs)
ℹ   [96/10354] ontvtonight.com (en) - au#1686/7two - Apr 25, 2026 (24 programs)
ℹ   [97/10354] ontvtonight.com (en) - au#1687/7two - Apr 24, 2026 (30 programs)
ℹ   [98/10354] ontvtonight.com (en) - au#1687/7two - Apr 25, 2026 (27 programs)
ℹ   [99/10354] ontvtonight.com (en) - au#1688/7two - Apr 24, 2026 (30 programs)
ℹ   [100/10354] ontvtonight.com (en) - au#1688/7two - Apr 25, 2026 (27 programs)
ℹ   [101/10354] ontvtonight.com (en) - au#1689/7two - Apr 24, 2026 (30 programs)
ℹ   [102/10354] ontvtonight.com (en) - au#1689/7two - Apr 25, 2026 (27 programs)
ℹ   [103/10354] ontvtonight.com (en) - au#1690/7two - Apr 24, 2026 (30 programs)
ℹ   [104/10354] ontvtonight.com (en) - au#1690/7two - Apr 25, 2026 (27 programs)
ℹ   [105/10354] ontvtonight.com (en) - au#1691/7two - Apr 24, 2026 (30 programs)
ℹ   [106/10354] ontvtonight.com (en) - au#1691/7two - Apr 25, 2026 (27 programs)
ℹ   [107/10354] ontvtonight.com (en) - au#1692/7two - Apr 24, 2026 (30 programs)
ℹ   [108/10354] ontvtonight.com (en) - au#1692/7two - Apr 25, 2026 (27 programs)
ℹ   [109/10354] ontvtonight.com (en) - au#1693/7two - Apr 24, 2026 (30 programs)
ℹ   [110/10354] ontvtonight.com (en) - au#1693/7two - Apr 25, 2026 (27 programs)
ℹ   [111/10354] ontvtonight.com (en) - au#1694/7two - Apr 25, 2026 (27 programs)
ℹ   [112/10354] ontvtonight.com (en) - au#1694/7two - Apr 24, 2026 (30 programs)
ℹ   [113/10354] ontvtonight.com (en) - au#1695/7two - Apr 24, 2026 (30 programs)
ℹ   [114/10354] ontvtonight.com (en) - au#1695/7two - Apr 25, 2026 (27 programs)
ℹ   [115/10354] ontvtonight.com (en) - au#1696/7two - Apr 24, 2026 (30 programs)
ℹ   [116/10354] ontvtonight.com (en) - au#1696/7two - Apr 25, 2026 (27 programs)
ℹ   [117/10354] ontvtonight.com (en) - au#1697/7two - Apr 24, 2026 (30 programs)
ℹ   [118/10354] ontvtonight.com (en) - au#1697/7two - Apr 25, 2026 (27 programs)
ℹ   [119/10354] ontvtonight.com (en) - au#1698/7two - Apr 24, 2026 (30 programs)
ℹ   [120/10354] ontvtonight.com (en) - au#1698/7two - Apr 25, 2026 (27 programs)
ℹ   [121/10354] ontvtonight.com (en) - au#1699/7two - Apr 24, 2026 (30 programs)
ℹ   [122/10354] ontvtonight.com (en) - au#1699/7two - Apr 25, 2026 (27 programs)
ℹ   [123/10354] ontvtonight.com (en) - au#1700/7two - Apr 24, 2026 (30 programs)
