═══════════════════════════════════════════════════════════════
  Site            : osn.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 268
  With programmes : 267
  Empty channels  : 1
  Total programs  : 10059
  Output size     : 1720249 bytes
  Other errors    :
    1 Unexpected end of JSON input
  Last error      : Unexpected end of JSON input
  Generated       : 2026-04-24 11:35:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:04 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=osn.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 134 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/268] osn.com (ar) - BLO - Apr 24, 2026 (27 programs)
ℹ   [2/268] osn.com (ar) - BLO - Apr 25, 2026 (48 programs)
ℹ   [3/268] osn.com (ar) - BAF - Apr 25, 2026 (54 programs)
ℹ   [4/268] osn.com (ar) - DOC - Apr 24, 2026 (21 programs)
ℹ   [5/268] osn.com (ar) - DWR - Apr 24, 2026 (24 programs)
ℹ   [6/268] osn.com (ar) - DOC - Apr 25, 2026 (20 programs)
ℹ   [7/268] osn.com (ar) - APL - Apr 24, 2026 (27 programs)
ℹ   [8/268] osn.com (ar) - BAF - Apr 24, 2026 (54 programs)
ℹ   [9/268] osn.com (ar) - EC2 - Apr 25, 2026 (3 programs)
ℹ   [10/268] osn.com (ar) - EC2 - Apr 24, 2026 (4 programs)
ℹ   [11/268] osn.com (ar) - APL - Apr 25, 2026 (28 programs)
ℹ   [12/268] osn.com (ar) - ECA - Apr 25, 2026 (5 programs)
ℹ   [13/268] osn.com (ar) - ECL - Apr 25, 2026 (5 programs)
ℹ   [14/268] osn.com (ar) - ECA - Apr 24, 2026 (4 programs)
ℹ   [15/268] osn.com (ar) - ELA - Apr 24, 2026 (6 programs)
