═══════════════════════════════════════════════════════════════
  Site            : pluto.tv
  Status          : PASS
  Attempts used   : 9 / 10
  Total elapsed   : 3937s
  Channels        : 43957
  With programmes : 41651
  Empty channels  : 2306
  Total programs  : 144302
  Output size     : 123205604 bytes
  HTTP errors     :
    2306 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:44:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:38:42 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=pluto.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2591 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/5182] pluto.tv (en) - 6493f6d24c014a00083d2ecd - Apr 25, 2026 (15 programs)
ℹ   [2/5182] pluto.tv (en) - 65eed5670d4561000836ade8 - Apr 24, 2026 (36 programs)
ℹ   [3/5182] pluto.tv (en) - 65eed5670d4561000836ade8 - Apr 25, 2026 (16 programs)
ℹ   [4/5182] pluto.tv (en) - 6493f6d24c014a00083d2ecd - Apr 24, 2026 (33 programs)
ℹ   [5/5182] pluto.tv (en) - 65bcf7b7d77d450008b3c495 - Apr 24, 2026 (61 programs)
ℹ   [6/5182] pluto.tv (en) - 65eed44c2873090008bdb4ab - Apr 24, 2026 (37 programs)
ℹ   [7/5182] pluto.tv (en) - 6493f680ed26aa00081eb4d5 - Apr 25, 2026 (15 programs)
ℹ   [8/5182] pluto.tv (en) - 6493f680ed26aa00081eb4d5 - Apr 24, 2026 (31 programs)
ℹ   [9/5182] pluto.tv (en) - 65bcf7b7d77d450008b3c495 - Apr 25, 2026 (28 programs)
ℹ   [10/5182] pluto.tv (en) - 65eed44c2873090008bdb4ab - Apr 25, 2026 (17 programs)
ℹ   [11/5182] pluto.tv (en) - 64805611dc7a7600088e8557 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [12/5182] pluto.tv (en) - 64805611dc7a7600088e8557 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [13/5182] pluto.tv (en) - 65bcf864ec452d00088e6716 - Apr 24, 2026 (27 programs)
ℹ   [14/5182] pluto.tv (en) - 65bcf864ec452d00088e6716 - Apr 25, 2026 (13 programs)
ℹ   [15/5182] pluto.tv (en) - 6493f7e316014400086995a7 - Apr 24, 2026 (57 programs)
ℹ   [16/5182] pluto.tv (en) - 6493f7e316014400086995a7 - Apr 25, 2026 (26 programs)
ℹ   [17/5182] pluto.tv (en) - 691709142a2463ca0ff1a4fb - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [18/5182] pluto.tv (en) - 691709142a2463ca0ff1a4fb - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [19/5182] pluto.tv (en) - 65eed3bb66eec80008b6954a - Apr 24, 2026 (67 programs)
ℹ   [20/5182] pluto.tv (en) - 65eed3bb66eec80008b6954a - Apr 25, 2026 (32 programs)
ℹ   [21/5182] pluto.tv (en) - 65c24f1aec452d0008989ee4 - Apr 24, 2026 (28 programs)
ℹ   [22/5182] pluto.tv (en) - 65c24f1aec452d0008989ee4 - Apr 25, 2026 (13 programs)
ℹ   [23/5182] pluto.tv (en) - 66c3514421a4740008487dc7 - Apr 24, 2026 (31 programs)
ℹ   [24/5182] pluto.tv (en) - 66c3514421a4740008487dc7 - Apr 25, 2026 (14 programs)
ℹ   [25/5182] pluto.tv (en) - 68aeb9cfe542386ab06cd51c - Apr 24, 2026 (29 programs)
ℹ   [26/5182] pluto.tv (en) - 68aeb9cfe542386ab06cd51c - Apr 25, 2026 (13 programs)
ℹ   [27/5182] pluto.tv (en) - 6493f72eed26aa00081eb526 - Apr 24, 2026 (31 programs)
ℹ   [28/5182] pluto.tv (en) - 6493f72eed26aa00081eb526 - Apr 25, 2026 (14 programs)
ℹ   [29/5182] pluto.tv (en) - 656712d9954b020008dac069 - Apr 24, 2026 (45 programs)
ℹ   [30/5182] pluto.tv (en) - 66c35172ed4b8a0008a914e2 - Apr 24, 2026 (32 programs)
ℹ   [31/5182] pluto.tv (en) - 656712d9954b020008dac069 - Apr 25, 2026 (21 programs)
ℹ   [32/5182] pluto.tv (en) - 66c35172ed4b8a0008a914e2 - Apr 25, 2026 (14 programs)
ℹ   [33/5182] pluto.tv (en) - 65c24ee011ced700080e199b - Apr 24, 2026 (31 programs)
ℹ   [34/5182] pluto.tv (en) - 65c24ee011ced700080e199b - Apr 25, 2026 (14 programs)
ℹ   [35/5182] pluto.tv (en) - 65e06535332fec0008485bf4 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [36/5182] pluto.tv (en) - 65e06535332fec0008485bf4 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [37/5182] pluto.tv (en) - 674dbb77afc24200083c25ba - Apr 25, 2026 (16 programs)
ℹ   [38/5182] pluto.tv (en) - 674dbb77afc24200083c25ba - Apr 24, 2026 (34 programs)
ℹ   [39/5182] pluto.tv (en) - 6493f6141601440008699442 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [40/5182] pluto.tv (en) - 6493f6141601440008699442 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [41/5182] pluto.tv (en) - 64805544f77b61000828ec65 - Apr 24, 2026 (35 programs)
ℹ   [42/5182] pluto.tv (en) - 6480562d4cfc2c0008a78285 - Apr 24, 2026 (31 programs)
ℹ   [43/5182] pluto.tv (en) - 64805544f77b61000828ec65 - Apr 25, 2026 (16 programs)
ℹ   [44/5182] pluto.tv (en) - 6480562d4cfc2c0008a78285 - Apr 25, 2026 (15 programs)
ℹ   [45/5182] pluto.tv (en) - 65a904554a10d8000863911b - Apr 24, 2026 (33 programs)
ℹ   [46/5182] pluto.tv (en) - 65bcf6b7dc10a40008e623a1 - Apr 24, 2026 (34 programs)
ℹ   [47/5182] pluto.tv (en) - 65bcf6b7dc10a40008e623a1 - Apr 25, 2026 (15 programs)
ℹ   [48/5182] pluto.tv (en) - 6493f4f566e485000853d640 - Apr 24, 2026 (40 programs)
ℹ   [49/5182] pluto.tv (en) - 65a904554a10d8000863911b - Apr 25, 2026 (15 programs)
ℹ   [50/5182] pluto.tv (en) - 648af4e1090e3e000855d1ea - Apr 25, 2026 (27 programs)
ℹ   [51/5182] pluto.tv (en) - 6493f4f566e485000853d640 - Apr 25, 2026 (23 programs)
ℹ   [52/5182] pluto.tv (en) - 6493f52d157176000850b951 - Apr 25, 2026 (26 programs)
ℹ   [53/5182] pluto.tv (en) - 648af4e1090e3e000855d1ea - Apr 24, 2026 (60 programs)
ℹ   [54/5182] pluto.tv (en) - 6493f52d157176000850b951 - Apr 24, 2026 (58 programs)
ℹ   [55/5182] pluto.tv (en) - 6493f4202051b900083152e1 - Apr 24, 2026 (59 programs)
ℹ   [56/5182] pluto.tv (en) - 6493f4202051b900083152e1 - Apr 25, 2026 (26 programs)
ℹ   [57/5182] pluto.tv (en) - 648055a3ee5cc40008af7bfa - Apr 25, 2026 (29 programs)
ℹ   [58/5182] pluto.tv (en) - 6493f5634c014a00083d2e35 - Apr 24, 2026 (63 programs)
ℹ   [59/5182] pluto.tv (en) - 648055a3ee5cc40008af7bfa - Apr 24, 2026 (62 programs)
ℹ   [60/5182] pluto.tv (en) - 6493f5634c014a00083d2e35 - Apr 25, 2026 (28 programs)
ℹ   [61/5182] pluto.tv (en) - 64805525536e0c0008a19ca8 - Apr 25, 2026 (26 programs)
ℹ   [62/5182] pluto.tv (en) - 64805525536e0c0008a19ca8 - Apr 24, 2026 (58 programs)
ℹ   [63/5182] pluto.tv (en) - 65eed4168b24c800080f3ebd - Apr 24, 2026 (33 programs)
ℹ   [64/5182] pluto.tv (en) - 65eed4168b24c800080f3ebd - Apr 25, 2026 (15 programs)
ℹ   [65/5182] pluto.tv (en) - 691708d8f692e47a533d6a9c - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [66/5182] pluto.tv (en) - 691708d8f692e47a533d6a9c - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [67/5182] pluto.tv (en) - 64e33abb9c1e3900083eaf1e - Apr 24, 2026 (19 programs)
ℹ   [68/5182] pluto.tv (en) - 64e33abb9c1e3900083eaf1e - Apr 25, 2026 (9 programs)
ℹ   [69/5182] pluto.tv (en) - 64a670f4bc3ab4000831b94e - Apr 24, 2026 (57 programs)
ℹ   [70/5182] pluto.tv (en) - 64a670f4bc3ab4000831b94e - Apr 25, 2026 (26 programs)
ℹ   [71/5182] pluto.tv (en) - 65df4bb6332fec000845e088 - Apr 24, 2026 (56 programs)
ℹ   [72/5182] pluto.tv (en) - 65df4bb6332fec000845e088 - Apr 25, 2026 (25 programs)
ℹ   [73/5182] pluto.tv (en) - 6917099f427d68a118dbe035 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [74/5182] pluto.tv (en) - 6917099f427d68a118dbe035 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [75/5182] pluto.tv (en) - 65bcf669ec452d00088e6459 - Apr 24, 2026 (62 programs)
ℹ   [76/5182] pluto.tv (en) - 65bcf669ec452d00088e6459 - Apr 25, 2026 (28 programs)
ℹ   [77/5182] pluto.tv (en) - 65c24efb11ced700080e1a72 - Apr 24, 2026 (32 programs)
ℹ   [78/5182] pluto.tv (en) - 65bcf9beec452d00088e68e5 - Apr 25, 2026 (13 programs)
ℹ   [79/5182] pluto.tv (en) - 65bcf9beec452d00088e68e5 - Apr 24, 2026 (29 programs)
ℹ   [80/5182] pluto.tv (en) - 65c24efb11ced700080e1a72 - Apr 25, 2026 (14 programs)
ℹ   [81/5182] pluto.tv (en) - 64e33a6dc630a900088aa4a0 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [82/5182] pluto.tv (en) - 64e33a6dc630a900088aa4a0 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [83/5182] pluto.tv (en) - 66f2ba358131f10008c427bc - Apr 24, 2026 (38 programs)
ℹ   [84/5182] pluto.tv (en) - 66f2ba358131f10008c427bc - Apr 25, 2026 (17 programs)
ℹ   [85/5182] pluto.tv (en) - 6493f76666e485000853d723 - Apr 24, 2026 (40 programs)
ℹ   [86/5182] pluto.tv (en) - 64805505536e0c0008a19c86 - Apr 24, 2026 (35 programs)
ℹ   [87/5182] pluto.tv (en) - 6493f76666e485000853d723 - Apr 25, 2026 (24 programs)
ℹ   [88/5182] pluto.tv (en) - 64805505536e0c0008a19c86 - Apr 25, 2026 (16 programs)
ℹ   [89/5182] pluto.tv (en) - 65df4c25ec9fda0008b74432 - Apr 24, 2026 (31 programs)
ℹ   [90/5182] pluto.tv (en) - 648af3452051b90008196c92 - Apr 24, 2026 (24 programs)
ℹ   [91/5182] pluto.tv (en) - 65df4c25ec9fda0008b74432 - Apr 25, 2026 (14 programs)
ℹ   [92/5182] pluto.tv (en) - 648af3452051b90008196c92 - Apr 25, 2026 (12 programs)
ℹ   [93/5182] pluto.tv (pt) - 67e59a6557487a8b7fe73e23 - Apr 24, 2026 (31 programs)
ℹ   [94/5182] pluto.tv (pt) - 67e59a6557487a8b7fe73e23 - Apr 25, 2026 (14 programs)
ℹ   [95/5182] pluto.tv (pt) - 631fa8dd7f25240007099a40 - Apr 24, 2026 (52 programs)
ℹ   [96/5182] pluto.tv (pt) - 631fa8dd7f25240007099a40 - Apr 25, 2026 (24 programs)
ℹ   [97/5182] pluto.tv (pt) - 656e2a4b4261ca00083aa99e - Apr 25, 2026 (15 programs)
ℹ   [98/5182] pluto.tv (pt) - 656e2a4b4261ca00083aa99e - Apr 24, 2026 (33 programs)
ℹ   [99/5182] pluto.tv (pt) - AdrenalinaPuraTV.us@Brazil - Apr 24, 2026 (16 programs)
ℹ   [100/5182] pluto.tv (pt) - AdrenalinaPuraTV.us@Brazil - Apr 25, 2026 (8 programs)
ℹ   [101/5182] pluto.tv (pt) - 63dd5c904e83e700088fb68a - Apr 25, 2026 (24 programs)
