═══════════════════════════════════════════════════════════════
  Site            : siba.com.co
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 2045
  With programmes : 20
  Empty channels  : 2025
  Total programs  : 0
  Output size     : 0 bytes
  Other errors    :
    1880 timeout of 30000ms exceeded
    5 socket hang up
  Last error      : timeout of 30000ms exceeded
  Generated       : 2026-04-24 15:13:12
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:52:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=siba.com.co --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 244 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/488] siba.com.co (es) - 387 - Apr 24, 2026 (49 programs)
ℹ   [2/488] siba.com.co (es) - 385 - Apr 25, 2026 (30 programs)
ℹ   [3/488] siba.com.co (es) - 381 - Apr 25, 2026 (28 programs)
ℹ   [4/488] siba.com.co (es) - 385 - Apr 24, 2026 (30 programs)
ℹ   [5/488] siba.com.co (es) - 381 - Apr 24, 2026 (55 programs)
ℹ   [6/488] siba.com.co (es) - 387 - Apr 25, 2026 (49 programs)
ℹ   [7/488] siba.com.co (es) - 388 - Apr 24, 2026 (53 programs)
ℹ   [8/488] siba.com.co (es) - 388 - Apr 25, 2026 (45 programs)
ℹ   [9/488] siba.com.co (es) - 390 - Apr 25, 2026 (166 programs)
ℹ   [10/488] siba.com.co (es) - 390 - Apr 24, 2026 (172 programs)
ℹ   [11/488] siba.com.co (es) - 400 - Apr 24, 2026 (22 programs)
ℹ   [12/488] siba.com.co (es) - 400 - Apr 25, 2026 (19 programs)
ℹ   [13/488] siba.com.co (es) - 402 - Apr 24, 2026 (19 programs)
ℹ   [14/488] siba.com.co (es) - 402 - Apr 25, 2026 (14 programs)
ℹ   [15/488] siba.com.co (es) - 406 - Apr 24, 2026 (17 programs)
ℹ   [16/488] siba.com.co (es) - 406 - Apr 25, 2026 (17 programs)
ℹ   [17/488] siba.com.co (es) - 414 - Apr 24, 2026 (35 programs)
ℹ   [18/488] siba.com.co (es) - 414 - Apr 25, 2026 (38 programs)
ℹ   [19/488] siba.com.co (es) - 415 - Apr 24, 2026 (16 programs)
ℹ   [20/488] siba.com.co (es) - 415 - Apr 25, 2026 (18 programs)
ℹ   [21/488] siba.com.co (es) - 426 - Apr 24, 2026 (0 programs)
ℹ     ERR: socket hang up
ℹ   [22/488] siba.com.co (es) - 422 - Apr 25, 2026 (0 programs)
ℹ     ERR: socket hang up
ℹ   [23/488] siba.com.co (es) - 422 - Apr 24, 2026 (0 programs)
ℹ     ERR: socket hang up
ℹ   [24/488] siba.com.co (es) - 420 - Apr 25, 2026 (0 programs)
ℹ     ERR: socket hang up
ℹ   [25/488] siba.com.co (es) - 420 - Apr 24, 2026 (0 programs)
ℹ     ERR: socket hang up
ℹ   [26/488] siba.com.co (es) - 426 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [27/488] siba.com.co (es) - 431 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [28/488] siba.com.co (es) - 431 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [29/488] siba.com.co (es) - 433 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [30/488] siba.com.co (es) - 433 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [31/488] siba.com.co (es) - 434 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [32/488] siba.com.co (es) - 434 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [33/488] siba.com.co (es) - 435 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [34/488] siba.com.co (es) - 435 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [35/488] siba.com.co (es) - 436 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [36/488] siba.com.co (es) - 436 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [37/488] siba.com.co (es) - 437 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [38/488] siba.com.co (es) - 437 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [39/488] siba.com.co (es) - 438 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [40/488] siba.com.co (es) - 438 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [41/488] siba.com.co (es) - 439 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [42/488] siba.com.co (es) - 439 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [43/488] siba.com.co (es) - 440 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [44/488] siba.com.co (es) - 440 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [45/488] siba.com.co (es) - 441 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [46/488] siba.com.co (es) - 441 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [47/488] siba.com.co (es) - 442 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [48/488] siba.com.co (es) - 442 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [49/488] siba.com.co (es) - 443 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [50/488] siba.com.co (es) - 443 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [51/488] siba.com.co (es) - 444 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [52/488] siba.com.co (es) - 444 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [53/488] siba.com.co (es) - 445 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [54/488] siba.com.co (es) - 445 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [55/488] siba.com.co (es) - 446 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [56/488] siba.com.co (es) - 446 - Apr 25, 2026 (0 programs)
ℹ   [56/488] siba.com.co (es) - 446 - Apr 25, 2026 (0 programs)
ℹ   [57/488] siba.com.co (es) - 447 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [58/488] siba.com.co (es) - 447 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [59/488] siba.com.co (es) - 448 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [60/488] siba.com.co (es) - 448 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [61/488] siba.com.co (es) - 449 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [62/488] siba.com.co (es) - 449 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [63/488] siba.com.co (es) - 450 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [64/488] siba.com.co (es) - 450 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [65/488] siba.com.co (es) - 451 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [66/488] siba.com.co (es) - 451 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [67/488] siba.com.co (es) - 452 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [68/488] siba.com.co (es) - 452 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [69/488] siba.com.co (es) - 453 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [70/488] siba.com.co (es) - 453 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [71/488] siba.com.co (es) - 454 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [72/488] siba.com.co (es) - 454 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [73/488] siba.com.co (es) - 455 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [74/488] siba.com.co (es) - 455 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [75/488] siba.com.co (es) - 456 - Apr 24, 2026 (0 programs)
