═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/1066] sky.com (en) - 1035 - Apr 24, 2026 (3 programs)
ℹ   [2/1066] sky.com (en) - 1022 - Apr 24, 2026 (7 programs)
ℹ   [3/1066] sky.com (en) - 1015 - Apr 25, 2026 (23 programs)
ℹ   [4/1066] sky.com (en) - 1022 - Apr 25, 2026 (7 programs)
ℹ   [5/1066] sky.com (en) - 1015 - Apr 24, 2026 (22 programs)
ℹ   [6/1066] sky.com (en) - 1070 - Apr 25, 2026 (26 programs)
ℹ   [7/1066] sky.com (en) - 1070 - Apr 24, 2026 (26 programs)
ℹ   [8/1066] sky.com (en) - 1083 - Apr 24, 2026 (5 programs)
ℹ   [9/1066] sky.com (en) - 1083 - Apr 25, 2026 (5 programs)
ℹ   [10/1066] sky.com (en) - 1035 - Apr 25, 2026 (3 programs)
ℹ   [11/1066] sky.com (en) - 1084 - Apr 24, 2026 (0 programs)
ℹ   [12/1066] sky.com (en) - 1084 - Apr 25, 2026 (0 programs)
ℹ   [13/1066] sky.com (en) - 1102 - Apr 25, 2026 (0 programs)
ℹ   [14/1066] sky.com (en) - 1148 - Apr 24, 2026 (6 programs)
ℹ   [15/1066] sky.com (en) - 1102 - Apr 24, 2026 (0 programs)
ℹ   [16/1066] sky.com (en) - 1148 - Apr 25, 2026 (6 programs)
