═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/6132] streamingtvguides.com (en) - 3ANGELS - Apr 25, 2026 (0 programs)
ℹ   [2/6132] streamingtvguides.com (en) - 5MAX - Apr 25, 2026 (0 programs)
ℹ   [3/6132] streamingtvguides.com (en) - 5MAXHD - Apr 24, 2026 (0 programs)
ℹ   [4/6132] streamingtvguides.com (en) - 3ANGELS - Apr 24, 2026 (0 programs)
ℹ   [5/6132] streamingtvguides.com (en) - 5MAX - Apr 24, 2026 (0 programs)
ℹ   [6/6132] streamingtvguides.com (en) - 1P1INT - Apr 25, 2026 (0 programs)
ℹ   [7/6132] streamingtvguides.com (en) - 5MAXHD - Apr 25, 2026 (0 programs)
ℹ   [8/6132] streamingtvguides.com (en) - 9XTAS - Apr 24, 2026 (0 programs)
ℹ   [9/6132] streamingtvguides.com (en) - 9XTAS - Apr 25, 2026 (0 programs)
ℹ   [10/6132] streamingtvguides.com (en) - 52MXI - Apr 24, 2026 (0 programs)
ℹ   [11/6132] streamingtvguides.com (en) - 52MXI - Apr 25, 2026 (0 programs)
ℹ   [12/6132] streamingtvguides.com (en) - 88FILMS - Apr 24, 2026 (0 programs)
ℹ   [13/6132] streamingtvguides.com (en) - 88FILMS - Apr 25, 2026 (0 programs)
ℹ   [14/6132] streamingtvguides.com (en) - 88TV - Apr 24, 2026 (0 programs)
ℹ   [15/6132] streamingtvguides.com (en) - 88TV - Apr 25, 2026 (0 programs)
ℹ   [16/6132] streamingtvguides.com (en) - A3CINE - Apr 24, 2026 (0 programs)
