═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/2194] tataplay.com (en) - 32 - Apr 25, 2026 (8 programs)
ℹ   [2/2194] tataplay.com (en) - 32 - Apr 24, 2026 (14 programs)
ℹ   [3/2194] tataplay.com (en) - 15 - Apr 25, 2026 (27 programs)
ℹ   [4/2194] tataplay.com (en) - 15 - Apr 24, 2026 (26 programs)
ℹ   [5/2194] tataplay.com (en) - 34 - Apr 24, 2026 (32 programs)
ℹ   [6/2194] tataplay.com (en) - 35 - Apr 24, 2026 (27 programs)
ℹ   [7/2194] tataplay.com (en) - 34 - Apr 25, 2026 (33 programs)
ℹ   [8/2194] tataplay.com (en) - 35 - Apr 25, 2026 (25 programs)
ℹ   [9/2194] tataplay.com (en) - 45 - Apr 25, 2026 (105 programs)
ℹ   [10/2194] tataplay.com (en) - 45 - Apr 24, 2026 (105 programs)
ℹ   [11/2194] tataplay.com (en) - 48 - Apr 24, 2026 (48 programs)
ℹ   [12/2194] tataplay.com (en) - 48 - Apr 25, 2026 (48 programs)
ℹ   [13/2194] tataplay.com (en) - 56 - Apr 24, 2026 (12 programs)
ℹ   [14/2194] tataplay.com (en) - 56 - Apr 25, 2026 (6 programs)
ℹ   [15/2194] tataplay.com (en) - 71 - Apr 25, 2026 (24 programs)
