═══════════════════════════════════════════════════════════════
  Site            : tv-programme.telecablesat.fr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 536
  With programmes : 5
  Empty channels  : 531
  Total programs  : 112
  Output size     : 115140 bytes
  HTTP errors     :
    531 status code 503
  Last error      : Request failed with status code 503
  Generated       : 2026-04-24 12:56:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:55:52 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-programme.telecablesat.fr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 268 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/536] tv-programme.telecablesat.fr (fr) - 13emeRue.fr@SD - Apr 25, 2026 (21 programs)
ℹ   [2/536] tv-programme.telecablesat.fr (fr) - France2.fr@SD - Apr 24, 2026 (37 programs)
ℹ   [3/536] tv-programme.telecablesat.fr (fr) - 3sat.de@SD - Apr 25, 2026 (9 programs)
ℹ   [4/536] tv-programme.telecablesat.fr (fr) - 3sat.de@SD - Apr 24, 2026 (13 programs)
ℹ   [5/536] tv-programme.telecablesat.fr (fr) - 13emeRue.fr@SD - Apr 24, 2026 (32 programs)
ℹ   [6/536] tv-programme.telecablesat.fr (fr) - France2.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [7/536] tv-programme.telecablesat.fr (fr) - AB1.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [8/536] tv-programme.telecablesat.fr (fr) - AB1.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [9/536] tv-programme.telecablesat.fr (fr) - Mangas.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
