═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/624] tv-spored.siol.net (sl) - 24urm - Apr 24, 2026 (21 programs)
ℹ   [2/624] tv-spored.siol.net (sl) - 24vesti - Apr 24, 2026 (38 programs)
ℹ   [3/624] tv-spored.siol.net (sl) - 3sat - Apr 24, 2026 (40 programs)
ℹ   [4/624] tv-spored.siol.net (sl) - 3sat - Apr 25, 2026 (33 programs)
ℹ   [5/624] tv-spored.siol.net (sl) - 24urm - Apr 25, 2026 (18 programs)
ℹ   [6/624] tv-spored.siol.net (sl) - 24vesti - Apr 25, 2026 (33 programs)
ℹ   [7/624] tv-spored.siol.net (sl) - 360_tunebox - Apr 24, 2026 (23 programs)
ℹ   [8/624] tv-spored.siol.net (sl) - 360_tunebox - Apr 25, 2026 (23 programs)
ℹ   [9/624] tv-spored.siol.net (sl) - adria - Apr 25, 2026 (8 programs)
ℹ   [10/624] tv-spored.siol.net (sl) - adria - Apr 24, 2026 (8 programs)
ℹ   [11/624] tv-spored.siol.net (sl) - akanal - Apr 25, 2026 (20 programs)
ℹ   [12/624] tv-spored.siol.net (sl) - alfa - Apr 25, 2026 (0 programs)
ℹ   [13/624] tv-spored.siol.net (sl) - alfa - Apr 24, 2026 (19 programs)
