═══════════════════════════════════════════════════════════════
  Site            : tv.lv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 30s
  Channels        : 274
  With programmes : 6
  Empty channels  : 268
  Total programs  : 109
  Output size     : 95872 bytes
  HTTP errors     :
    174 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 12:47:14
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:46:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.lv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 137 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/274] tv.lv (lv) - 3sat.de@SD - Apr 24, 2026 (0 programs)
ℹ   [2/274] tv.lv (lv) - 3sat.de@SD - Apr 25, 2026 (0 programs)
ℹ   [3/274] tv.lv (ru) - TV3Plus.lv@SD - Apr 24, 2026 (24 programs)
ℹ   [4/274] tv.lv (ru) - TV3Plus.lv@SD - Apr 25, 2026 (21 programs)
ℹ   [5/274] tv.lv (lv) - 8TV.lv@SD - Apr 24, 2026 (17 programs)
ℹ   [6/274] tv.lv (lv) - 360TV.lv@SD - Apr 24, 2026 (18 programs)
ℹ   [7/274] tv.lv (lv) - 360TV.lv@SD - Apr 25, 2026 (15 programs)
ℹ   [8/274] tv.lv (lv) - AlJazeera.qa@English - Apr 24, 2026 (0 programs)
ℹ   [9/274] tv.lv (lv) - 8TV.lv@SD - Apr 25, 2026 (14 programs)
ℹ   [10/274] tv.lv (lv) - AlJazeera.qa@English - Apr 25, 2026 (0 programs)
ℹ   [11/274] tv.lv (lv) - AnimalPlanetEurope.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [12/274] tv.lv (lv) - AnimalPlanetEurope.uk@SD - Apr 25, 2026 (0 programs)
