═══════════════════════════════════════════════════════════════
  Site            : tv.mail.ru
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 345s
  Channels        : 1332
  With programmes : 3
  Empty channels  : 1329
  Total programs  : 52
  Output size     : 118419 bytes
  Other errors    :
    1319 Unexpected token '<', "<!DOCTYPE "... is not valid JSON
  Last error      : Unexpected token '<', "<!DOCTYPE "... is not valid JSON
  Generated       : 2026-04-24 12:52:59
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:47:14 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.mail.ru --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 664 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/1328] tv.mail.ru (ru) - MTV00s.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [2/1328] tv.mail.ru (ru) - MTV00s.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [3/1328] tv.mail.ru (ru) - Eurosport1.fr@Russia - Apr 24, 2026 (14 programs)
ℹ   [4/1328] tv.mail.ru (ru) - Eurosport1.fr@Russia - Apr 25, 2026 (14 programs)
ℹ   [5/1328] tv.mail.ru (ru) - Mir.ru@SD - Apr 24, 2026 (24 programs)
ℹ   [6/1328] tv.mail.ru (ru) - Mir.ru@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
ℹ   [7/1328] tv.mail.ru (ru) - BloombergTV.us@Europe - Apr 24, 2026 (0 programs)
ℹ     ERR: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
ℹ   [8/1328] tv.mail.ru (ru) - BloombergTV.us@Europe - Apr 25, 2026 (0 programs)
ℹ     ERR: Unexpected token '<', "<!DOCTYPE "... is not valid JSON
