═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/2144] tv24.co.uk (en) - 1-2-3-tv-hd - Apr 24, 2026 (0 programs)
ℹ   [2/2144] tv24.co.uk (en) - 1-2-3-tv - Apr 24, 2026 (0 programs)
ℹ   [3/2144] tv24.co.uk (en) - 1-2-3-tv - Apr 25, 2026 (0 programs)
ℹ   [4/2144] tv24.co.uk (en) - 1-2-3-tv-hd - Apr 25, 2026 (0 programs)
ℹ   [5/2144] tv24.co.uk (en) - 3sat - Apr 24, 2026 (0 programs)
ℹ   [6/2144] tv24.co.uk (en) - 3sat-hd - Apr 25, 2026 (37 programs)
ℹ   [7/2144] tv24.co.uk (en) - 4music - Apr 24, 2026 (7 programs)
ℹ   [8/2144] tv24.co.uk (en) - 3sat-hd - Apr 24, 2026 (38 programs)
ℹ   [9/2144] tv24.co.uk (en) - 3sat - Apr 25, 2026 (0 programs)
ℹ   [10/2144] tv24.co.uk (en) - 4music - Apr 25, 2026 (7 programs)
ℹ   [11/2144] tv24.co.uk (en) - 4seven.uk@SD - Apr 25, 2026 (28 programs)
ℹ   [12/2144] tv24.co.uk (en) - 4seven.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [13/2144] tv24.co.uk (en) - 4seven-hd - Apr 24, 2026 (26 programs)
