═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/230] tvgids.nl (nl) - 3sat.de@SD - Apr 24, 2026 (48 programs)
ℹ   [2/230] tvgids.nl (en) - AlJazeera.qa@English - Apr 24, 2026 (45 programs)
ℹ   [3/230] tvgids.nl (nl) - 24Kitchen.us@Netherlands - Apr 25, 2026 (49 programs)
ℹ   [4/230] tvgids.nl (nl) - 3sat.de@SD - Apr 25, 2026 (42 programs)
ℹ   [5/230] tvgids.nl (nl) - 24Kitchen.us@Netherlands - Apr 24, 2026 (52 programs)
ℹ   [6/230] tvgids.nl (nl) - AnimalPlanet.nl@SD - Apr 24, 2026 (35 programs)
ℹ   [7/230] tvgids.nl (nl) - ard - Apr 24, 2026 (42 programs)
ℹ   [8/230] tvgids.nl (en) - AlJazeera.qa@English - Apr 25, 2026 (45 programs)
ℹ   [9/230] tvgids.nl (nl) - AnimalPlanet.nl@SD - Apr 25, 2026 (37 programs)
ℹ   [10/230] tvgids.nl (nl) - ard - Apr 25, 2026 (46 programs)
ℹ   [11/230] tvgids.nl (nl) - arte.fr@SD - Apr 24, 2026 (37 programs)
ℹ   [12/230] tvgids.nl (nl) - arte.fr@SD - Apr 25, 2026 (36 programs)
