═══════════════════════════════════════════════════════════════
  Site            : tvireland.ie
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 64s
  Channels        : 668
  With programmes : 562
  Empty channels  : 106
  Total programs  : 16887
  Output size     : 4082955 bytes
  HTTP errors     :
    106 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:46:44
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:45:40 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvireland.ie --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 334 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/668] tvireland.ie (en) - BBCTwo.uk@NorthernIreland - Apr 24, 2026 (24 programs)
ℹ   [2/668] tvireland.ie (en) - BBCOne.uk@London - Apr 24, 2026 (25 programs)
ℹ   [3/668] tvireland.ie (en) - BBCTwo.uk@NorthernIreland - Apr 25, 2026 (25 programs)
ℹ   [4/668] tvireland.ie (en) - BBCTwo.uk@England - Apr 24, 2026 (24 programs)
ℹ   [5/668] tvireland.ie (en) - BBCOne.uk@London - Apr 25, 2026 (24 programs)
ℹ   [6/668] tvireland.ie (en) - BBCTwo.uk@England - Apr 25, 2026 (27 programs)
ℹ   [7/668] tvireland.ie (en) - Channel4.uk@UK - Apr 24, 2026 (33 programs)
ℹ   [8/668] tvireland.ie (en) - Channel4.uk@UK - Apr 25, 2026 (35 programs)
ℹ   [9/668] tvireland.ie (en) - MTVHits.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [10/668] tvireland.ie (en) - MTVHits.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [11/668] tvireland.ie (en) - MTV90s.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
