═══════════════════════════════════════════════════════════════
  Site            : tvpassport.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 991s
  Channels        : 5806
  With programmes : 5788
  Empty channels  : 18
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 13:11:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:54:47 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvpassport.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 19287 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/38574] tvpassport.com (en) - 2m-maroc/13668 - Apr 25, 2026 (32 programs)
ℹ   [2/38574] tvpassport.com (en) - 2m-tv/19885 - Apr 25, 2026 (32 programs)
ℹ   [3/38574] tvpassport.com (en) - 2m-maroc/13668 - Apr 24, 2026 (42 programs)
ℹ   [4/38574] tvpassport.com (en) - 2m-tv/19885 - Apr 24, 2026 (42 programs)
ℹ   [5/38574] tvpassport.com (en) - 3-news-now-wcax-tv6-burlington-vt/36205 - Apr 24, 2026 (37 programs)
ℹ   [6/38574] tvpassport.com (en) - 3-news-now-wcax-tv6-burlington-vt/36205 - Apr 25, 2026 (37 programs)
ℹ   [7/38574] tvpassport.com (en) - 3abn-dare-to-dream-k08ou-d3-seattle-wa/16753 - Apr 24, 2026 (43 programs)
ℹ   [8/38574] tvpassport.com (en) - 3abn-dare-to-dream-k08ou-d3-seattle-wa/16753 - Apr 25, 2026 (43 programs)
ℹ   [9/38574] tvpassport.com (en) - 3abn-dare-to-dream-k17du-d3-christmas-valley-or/37331 - Apr 25, 2026 (43 programs)
ℹ   [10/38574] tvpassport.com (en) - 3abn-dare-to-dream-k17du-d3-christmas-valley-or/37331 - Apr 24, 2026 (43 programs)
ℹ   [11/38574] tvpassport.com (en) - 3abn-dare-to-dream-k17ji-d3-fresno-ca/17793 - Apr 24, 2026 (7 programs)
ℹ   [12/38574] tvpassport.com (en) - 3abn-dare-to-dream-k17ji-d3-fresno-ca/17793 - Apr 25, 2026 (7 programs)
ℹ   [13/38574] tvpassport.com (en) - 3abn-dare-to-dream-k21do-d3-palm-spring-ca/17794 - Apr 24, 2026 (13 programs)
ℹ   [14/38574] tvpassport.com (en) - 3abn-dare-to-dream-k21do-d3-palm-spring-ca/17794 - Apr 25, 2026 (13 programs)
ℹ   [15/38574] tvpassport.com (en) - 3abn-dare-to-dream-k36ku-d3-twin-falls-id/36880 - Apr 24, 2026 (43 programs)
ℹ   [16/38574] tvpassport.com (en) - 3abn-dare-to-dream-k36ku-d3-twin-falls-id/36880 - Apr 25, 2026 (43 programs)
ℹ   [17/38574] tvpassport.com (en) - 3abn-dare-to-dream-k43fo-d3-las-vegas-nv/17795 - Apr 24, 2026 (15 programs)
ℹ   [18/38574] tvpassport.com (en) - 3abn-dare-to-dream-k43fo-d3-las-vegas-nv/17795 - Apr 25, 2026 (15 programs)
ℹ   [19/38574] tvpassport.com (en) - 3abn-dare-to-dream-kcyh-ld3-sherman-tx/17796 - Apr 24, 2026 (43 programs)
ℹ   [20/38574] tvpassport.com (en) - 3abn-dare-to-dream-kcyh-ld3-sherman-tx/17796 - Apr 25, 2026 (43 programs)
ℹ   [21/38574] tvpassport.com (en) - 3abn-dare-to-dream-kmbb-ld4-north-platte-ne/17797 - Apr 24, 2026 (43 programs)
ℹ   [22/38574] tvpassport.com (en) - 3abn-dare-to-dream-ktbv-ld2-los-angeles-ca/16482 - Apr 24, 2026 (43 programs)
ℹ   [23/38574] tvpassport.com (en) - 3abn-dare-to-dream-kmbb-ld4-north-platte-ne/17797 - Apr 25, 2026 (43 programs)
ℹ   [24/38574] tvpassport.com (en) - 3abn-dare-to-dream-ktbv-ld2-los-angeles-ca/16482 - Apr 25, 2026 (43 programs)
ℹ   [25/38574] tvpassport.com (en) - 3abn-dare-to-dream-kucl-ld5-salt-lake-city-ut/17798 - Apr 24, 2026 (18 programs)
ℹ   [26/38574] tvpassport.com (en) - 3abn-dare-to-dream-kucl-ld5-salt-lake-city-ut/17798 - Apr 25, 2026 (18 programs)
ℹ   [27/38574] tvpassport.com (en) - 3abn-dare-to-dream-kuot-cd4-oklahoma-city-ok/17799 - Apr 24, 2026 (35 programs)
ℹ   [28/38574] tvpassport.com (en) - 3abn-dare-to-dream-w05co3-sarasota-fl/16745 - Apr 25, 2026 (42 programs)
ℹ   [29/38574] tvpassport.com (en) - 3abn-dare-to-dream-w05co3-sarasota-fl/16745 - Apr 24, 2026 (43 programs)
ℹ   [30/38574] tvpassport.com (en) - 3abn-dare-to-dream-kuot-cd4-oklahoma-city-ok/17799 - Apr 25, 2026 (35 programs)
ℹ   [31/38574] tvpassport.com (en) - 3abn-dare-to-dream-w23eb-d7-cadillac-mi/37167 - Apr 24, 2026 (43 programs)
ℹ   [32/38574] tvpassport.com (en) - 3abn-dare-to-dream-w50co3-jacksonville-fl/17802 - Apr 24, 2026 (43 programs)
ℹ   [33/38574] tvpassport.com (en) - 3abn-dare-to-dream-w23eb-d7-cadillac-mi/37167 - Apr 25, 2026 (43 programs)
ℹ   [34/38574] tvpassport.com (en) - 3abn-dare-to-dream-w28dy-d3-sault-ste-marie-mi/37174 - Apr 24, 2026 (43 programs)
ℹ   [35/38574] tvpassport.com (en) - 3abn-dare-to-dream-w50co3-jacksonville-fl/17802 - Apr 25, 2026 (42 programs)
ℹ   [36/38574] tvpassport.com (en) - 3abn-dare-to-dream-w28dy-d3-sault-ste-marie-mi/37174 - Apr 25, 2026 (43 programs)
ℹ   [37/38574] tvpassport.com (en) - 3abn-dare-to-dream-waau-ld2-augusta-ga/17803 - Apr 24, 2026 (6 programs)
ℹ   [38/38574] tvpassport.com (en) - 3abn-dare-to-dream-waau-ld2-augusta-ga/17803 - Apr 25, 2026 (6 programs)
ℹ   [39/38574] tvpassport.com (en) - 3abn-dare-to-dream-wjnk-lp3-nashville-tn/17704 - Apr 24, 2026 (43 programs)
ℹ   [40/38574] tvpassport.com (en) - 3abn-dare-to-dream-wjnk-lp3-nashville-tn/17704 - Apr 25, 2026 (43 programs)
ℹ   [41/38574] tvpassport.com (en) - 3abn-dare-to-dream/16481 - Apr 24, 2026 (43 programs)
ℹ   [42/38574] tvpassport.com (en) - 3abn-dare-to-dream-wygn-ld3-south-bend-in/17324 - Apr 25, 2026 (31 programs)
ℹ   [43/38574] tvpassport.com (en) - 3abn-dare-to-dream-wygn-ld3-south-bend-in/17324 - Apr 24, 2026 (31 programs)
ℹ   [44/38574] tvpassport.com (en) - 3abn-dare-to-dream/16481 - Apr 25, 2026 (42 programs)
ℹ   [45/38574] tvpassport.com (en) - 3abn-k17du-d-christmas-valley-or/27419 - Apr 24, 2026 (41 programs)
ℹ   [46/38574] tvpassport.com (en) - 3abn-k17du-d-christmas-valley-or/27419 - Apr 25, 2026 (41 programs)
ℹ   [47/38574] tvpassport.com (en) - 3abn-kids-w23eb-d3-cadillac-mi/37165 - Apr 24, 2026 (67 programs)
ℹ   [48/38574] tvpassport.com (en) - 3abn-latino-k08ou-d4-seattle-wa/16752 - Apr 24, 2026 (35 programs)
ℹ   [49/38574] tvpassport.com (en) - 3abn-kids-w23eb-d3-cadillac-mi/37165 - Apr 25, 2026 (67 programs)
ℹ   [50/38574] tvpassport.com (en) - 3abn-latino-k08ou-d4-seattle-wa/16752 - Apr 25, 2026 (35 programs)
ℹ   [51/38574] tvpassport.com (en) - 3abn-latino-k17du-d4-christmas-valley-or/37329 - Apr 24, 2026 (35 programs)
ℹ   [52/38574] tvpassport.com (en) - 3abn-latino-k17ji-dt4-fresno-ca/17780 - Apr 24, 2026 (24 programs)
ℹ   [53/38574] tvpassport.com (en) - 3abn-latino-k17du-d4-christmas-valley-or/37329 - Apr 25, 2026 (35 programs)
ℹ   [54/38574] tvpassport.com (en) - 3abn-latino-k17ji-dt4-fresno-ca/17780 - Apr 25, 2026 (24 programs)
ℹ   [55/38574] tvpassport.com (en) - 3abn-latino-k18jl-d2-phoenix-az/35808 - Apr 25, 2026 (15 programs)
ℹ   [56/38574] tvpassport.com (en) - 3abn-latino-k18jl-d2-phoenix-az/35808 - Apr 24, 2026 (15 programs)
ℹ   [57/38574] tvpassport.com (en) - 3abn-latino-k20jx-d4-sacramento-ca/15257 - Apr 25, 2026 (35 programs)
ℹ   [58/38574] tvpassport.com (en) - 3abn-latino-k20jx-d4-sacramento-ca/15257 - Apr 24, 2026 (35 programs)
ℹ   [59/38574] tvpassport.com (en) - 3abn-latino-k23cu-dt2-bend-or/17782 - Apr 24, 2026 (35 programs)
ℹ   [60/38574] tvpassport.com (en) - 3abn-latino-k21do-dt4-palm-springs-ca/17781 - Apr 25, 2026 (43 programs)
ℹ   [61/38574] tvpassport.com (en) - 3abn-latino-k21do-dt4-palm-springs-ca/17781 - Apr 24, 2026 (43 programs)
ℹ   [62/38574] tvpassport.com (en) - 3abn-latino-k23ju-d3-prosser-wa/34711 - Apr 24, 2026 (35 programs)
ℹ   [63/38574] tvpassport.com (en) - 3abn-latino-k23cu-dt2-bend-or/17782 - Apr 25, 2026 (35 programs)
ℹ   [64/38574] tvpassport.com (en) - 3abn-latino-k23ju-d3-prosser-wa/34711 - Apr 25, 2026 (35 programs)
