═══════════════════════════════════════════════════════════════
  Site            : vidio.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 114
  With programmes : 92
  Empty channels  : 22
  Total programs  : 3106
  Output size     : 1436508 bytes
  HTTP errors     :
    6 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 13:01:01
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:00:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=vidio.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 57 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/114] vidio.com (id) - Indosiar.id@SD - Apr 25, 2026 (18 programs)
ℹ   [2/114] vidio.com (id) - Moji.id@SD - Apr 24, 2026 (16 programs)
ℹ   [3/114] vidio.com (id) - Indosiar.id@SD - Apr 24, 2026 (16 programs)
ℹ   [4/114] vidio.com (id) - SCTV.id@SD - Apr 25, 2026 (19 programs)
ℹ   [5/114] vidio.com (id) - SCTV.id@SD - Apr 24, 2026 (19 programs)
ℹ   [6/114] vidio.com (id) - Moji.id@SD - Apr 25, 2026 (16 programs)
ℹ   [7/114] vidio.com (id) - TransTV.id@SD - Apr 24, 2026 (21 programs)
ℹ   [8/114] vidio.com (id) - Trans7.id@SD - Apr 24, 2026 (28 programs)
ℹ   [9/114] vidio.com (id) - TransTV.id@SD - Apr 25, 2026 (22 programs)
ℹ   [10/114] vidio.com (id) - Trans7.id@SD - Apr 25, 2026 (30 programs)
ℹ   [11/114] vidio.com (id) - MetroTV.id@SD - Apr 24, 2026 (49 programs)
ℹ   [12/114] vidio.com (id) - ANTV.id@SD - Apr 24, 2026 (13 programs)
ℹ   [13/114] vidio.com (id) - MetroTV.id@SD - Apr 25, 2026 (49 programs)
