═══════════════════════════════════════════════════════════════
  Site            : webtv.sk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 372
  With programmes : 258
  Empty channels  : 114
  Total programs  : 11761
  Output size     : 4463757 bytes
  HTTP errors     :
    72 status code 429
    42 status code 404
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:06:17
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:05:39 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=webtv.sk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 186 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/372] webtv.sk (sk) - al_jazeera_english - Apr 24, 2026 (38 programs)
ℹ   [2/372] webtv.sk (sk) - 360_tunebox - Apr 24, 2026 (24 programs)
ℹ   [3/372] webtv.sk (sk) - 360_tunebox - Apr 25, 2026 (24 programs)
ℹ   [4/372] webtv.sk (sk) - al_jazeera - Apr 25, 2026 (29 programs)
ℹ   [5/372] webtv.sk (sk) - al_jazeera - Apr 24, 2026 (29 programs)
ℹ   [6/372] webtv.sk (sk) - al_jazeera_english - Apr 25, 2026 (39 programs)
ℹ   [7/372] webtv.sk (sk) - amc - Apr 24, 2026 (18 programs)
ℹ   [8/372] webtv.sk (sk) - amc - Apr 25, 2026 (21 programs)
ℹ   [9/372] webtv.sk (sk) - animal_planet - Apr 25, 2026 (28 programs)
ℹ   [10/372] webtv.sk (sk) - animal_planet - Apr 24, 2026 (27 programs)
ℹ   [11/372] webtv.sk (sk) - arena_sport_1 - Apr 24, 2026 (36 programs)
ℹ   [12/372] webtv.sk (sk) - arena_sport_1 - Apr 25, 2026 (31 programs)
ℹ   [13/372] webtv.sk (sk) - arena_sport_2 - Apr 24, 2026 (24 programs)
