═══════════════════════════════════════════════════════════════
  Site            : xumo.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 830
  With programmes : 812
  Empty channels  : 18
  Total programs  : 26606
  Output size     : 8883086 bytes
  Generated       : 2026-04-24 13:07:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:06:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=xumo.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 415 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/830] xumo.tv (en) - AngerManagementChannel.us@SD - Apr 24, 2026 (0 programs)
ℹ   [2/830] xumo.tv (en) - AngerManagementChannel.us@SD - Apr 25, 2026 (0 programs)
ℹ   [3/830] xumo.tv (en) - ShadesofBlack.pl@SD - Apr 24, 2026 (16 programs)
ℹ   [4/830] xumo.tv (en) - ShadesofBlack.pl@SD - Apr 25, 2026 (16 programs)
ℹ   [5/830] xumo.tv (en) - TheReuters60.pl@FAST - Apr 24, 2026 (17 programs)
ℹ   [6/830] xumo.tv (en) - 0#99951218 - Apr 24, 2026 (32 programs)
ℹ   [7/830] xumo.tv (en) - SkyNews.uk@SD - Apr 24, 2026 (42 programs)
ℹ   [8/830] xumo.tv (en) - TheReuters60.pl@FAST - Apr 25, 2026 (17 programs)
ℹ   [9/830] xumo.tv (en) - 0#99951218 - Apr 25, 2026 (31 programs)
ℹ   [10/830] xumo.tv (en) - SkyNews.uk@SD - Apr 25, 2026 (42 programs)
ℹ   [11/830] xumo.tv (en) - 0#99951239 - Apr 24, 2026 (31 programs)
ℹ   [12/830] xumo.tv (en) - 0#99951239 - Apr 25, 2026 (30 programs)
ℹ   [13/830] xumo.tv (en) - MovieSphere.us@US - Apr 24, 2026 (17 programs)
