═══════════════════════════════════════════════════════════════
  Site            : zap2it.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 91s
  Channels        : 1190
  With programmes : 681
  Empty channels  : 509
  Total programs  : 7810
  Output size     : 3917204 bytes
  HTTP errors     :
    503 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:08:52
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:07:20 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=zap2it.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 595 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [1/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10021 - Apr 25, 2026 (5 programs)
ℹ   [2/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10021 - Apr 24, 2026 (6 programs)
ℹ   [3/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10035 - Apr 25, 2026 (15 programs)
ℹ   [4/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10035 - Apr 24, 2026 (22 programs)
ℹ   [5/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10051 - Apr 24, 2026 (20 programs)
ℹ   [6/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10057 - Apr 24, 2026 (10 programs)
ℹ   [7/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10051 - Apr 25, 2026 (16 programs)
ℹ   [8/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10057 - Apr 25, 2026 (7 programs)
ℹ   [9/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10093 - Apr 25, 2026 (5 programs)
ℹ   [10/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10120 - Apr 24, 2026 (8 programs)
ℹ   [11/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10120 - Apr 25, 2026 (7 programs)
ℹ   [12/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10121 - Apr 24, 2026 (6 programs)
ℹ   [13/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10093 - Apr 24, 2026 (6 programs)
ℹ   [14/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10138 - Apr 24, 2026 (22 programs)
ℹ   [15/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10121 - Apr 25, 2026 (8 programs)
ℹ   [16/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10139 - Apr 24, 2026 (10 programs)
ℹ   [17/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10139 - Apr 25, 2026 (14 programs)
